metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer
pc3,0.11197520531713959,0.12190763197839256,-0.009932426661252977,-0.011409723371267316,-0.008391759851947423,0.0,-1.8825962978666697,100,100,11
pc4,0.11909971714019772,0.11981314182281491,-0.0007134246826171892,-0.0008685797303915075,-0.0005739390123635564,0.0,-1.2711600036502664,100,100,0
pc4,0.11871759392321106,0.12190818682312962,-0.0031905928999185623,-0.0033307119589299017,-0.003056342897936703,0.0,-6.422683916755562,100,100,1
pc4,0.1121747431159019,0.11376474641263482,-0.0015900032967329086,-0.0017654260564595424,-0.0014006235226988733,0.0,-2.282453739917097,100,100,2
pc4,0.1123964916169643,0.11568988300859924,-0.0032933913916349394,-0.0035810609012842274,-0.003008127136155958,0.0,-3.3148401780437977,100,100,3
pc4,0.11635189257562156,0.1116028708964586,0.004749021679162968,0.004406302969902751,0.005083651829510924,0.0,3.7777896605552734,100,100,4
pc4,0.11326569028198716,0.10964590616524215,0.0036197841167450034,0.0032314885389059765,0.00398451182618737,0.0,2.5206504771962317,100,100,5
pc4,0.11062278836965557,0.10654069110751148,0.004082097262144091,0.003581677943468097,0.004560472233220937,0.0,2.33030199524935,100,100,6
pc4,0.10784584455192085,0.11079769231379029,-0.002951847761869436,-0.0035132702831178926,-0.0023545593917369727,0.0,-1.3985042618721932,100,100,7
pc4,0.1085993660241365,0.10621414758265015,0.002385218441486356,0.0017058944348245769,0.0030300331618636754,0.0,0.9490838342878505,100,100,8
pc4,0.10254328630864616,0.09811800502240654,0.0044252812862396185,0.0035907246619462934,0.005180596845224503,0.0,1.577341324490256,100,100,9
pc4,0.09480904102325435,0.09309897579252717,0.001710065230727184,0.0010108353793621173,0.002456062274053706,0.0,0.6419762505878207,100,100,10
pc4,0.08152600251138206,0.07453861676156517,0.006987385749816888,0.005754801671952019,0.008229484837502245,0.0,1.5483097124257383,100,100,11
pc5,0.08189251691102978,0.08988111145794388,-0.007988594546914099,-0.008073446681723022,-0.007903993748128437,0.0,-25.47481710233247,100,100,0
pc5,0.07279577091336246,0.08945758275687692,-0.01666181184351445,-0.01677909502387046,-0.016547717485576884,0.0,-39.37033242794593,100,100,1
pc5,0.06420683860778804,0.08986336931586263,-0.025656530708074582,-0.02580946493148805,-0.025504642998799683,0.0,-47.4644243430119,100,100,2
pc5,0.06383941188454623,0.09080792777240272,-0.026968515887856495,-0.027174655126407744,-0.026785609725862743,0.0,-37.41359958644184,100,100,3
pc5,0.06344180151820178,0.08518373511731621,-0.02174193359911443,-0.02198125140834599,-0.021490596561692672,0.0,-23.85963188810834,100,100,4
pc5,0.06332075938582417,0.0862702981382608,-0.022949538752436632,-0.02323594959639013,-0.02270792788267136,0.0,-23.249936787507597,100,100,5
pc5,0.06353336833417413,0.08587782107293598,-0.022344452738761858,-0.022577999252825984,-0.0220963591458276,0.0,-25.380081422357776,100,100,6
pc5,0.06348615817725654,0.08387533567845817,-0.02038917750120163,-0.02067035312205553,-0.020096995752304798,0.0,-18.901483104087134,100,100,7
pc5,0.06371484961360689,0.08492328383028504,-0.021208434216678146,-0.021557483631186192,-0.020846881208010017,0.0,-16.424226103634698,100,100,8
pc5,0.06154947116971011,0.08645440563559528,-0.024904934465885174,-0.025303752757608912,-0.024511386305093776,0.0,-18.212903612258895,100,100,9
pc5,0.06566148880869145,0.07540199391543861,-0.009740505106747163,-0.010391083623282615,-0.009114366644993425,0.0,-4.182403190557339,100,100,10
pc5,0.06134113807231183,0.06652616538107392,-0.005185027308762094,-0.0061253354046493826,-0.00425205240398647,0.0,-1.575902544491778,100,100,11
pc6,0.06793647967278954,0.059880270734429315,0.008056208938360225,0.007972807552665466,0.008140489987097686,0.0,26.766863194454107,100,100,0
pc6,0.057209515310823876,0.05879367057234045,-0.001584155261516576,-0.0016643946357071465,-0.0015033030025661033,0.0,-5.255214708814058,100,100,1
pc6,0.051146235764026604,0.061714228540658896,-0.010567992776632291,-0.010695239678956567,-0.010420129216276103,0.0,-21.526025472469673,100,100,2
pc6,0.05146536197513338,0.06611292004585262,-0.014647558070719241,-0.014807787014171491,-0.014484066795557736,0.0,-23.994557127775543,100,100,3
pc6,0.05236543875187631,0.06523503683507438,-0.01286959808319807,-0.01302588276658209,-0.012727003971114764,0.0,-24.340239178232398,100,100,4
pc6,0.05176989343017336,0.06309773042798039,-0.011327836997807032,-0.011508149418048551,-0.011150006782263517,0.0,-17.118605176955054,100,100,5
pc6,0.0493149726837873,0.06016445487737651,-0.010849482193589208,-0.011022258535958814,-0.010666179847903532,0.0,-16.062086721824528,100,100,6
pc6,0.04897374138236042,0.05938118159770962,-0.0104074402153492,-0.01061048585735263,-0.010195075844414541,0.0,-13.106200443294012,100,100,7
pc6,0.054923828095197635,0.05628657527267929,-0.0013627471774816519,-0.0016486964775249285,-0.0010767879923805665,0.0,-1.3007068688556738,100,100,8
pc6,0.05545233540236945,0.054972297996282525,0.00048003740608692363,5.070207081735948e-05,0.0008961637327447337,0.028,0.31432142652723566,100,100,9
pc6,0.051933126077055886,0.04907732423394915,0.0028558018431067353,0.0022064867718145135,0.003506620655767604,0.0,1.213502201639766,100,100,10
pc6,0.04438283748924729,0.04170926932245488,0.0026735681667924074,0.0018781124604865906,0.0034999085273593805,0.0,0.9129001560910391,100,100,11
pc7,0.040556193403899626,0.030274981725960916,0.01028121167793871,0.010235095892101535,0.010326230587437755,0.0,63.69690625612783,100,100,0
pc7,0.036199424825608686,0.03182000819593664,0.004379416629672048,0.004299098580144339,0.004459240442141889,0.0,14.928201214593672,100,100,1
pc7,0.033567125052213626,0.031548103168606706,0.0020190218836069196,0.0019296661969274392,0.0021088014589622723,0.0,6.209979180748646,100,100,2
pc7,0.033265143930911976,0.031063296105712603,0.002201847825199374,0.0020888051064685102,0.0023116695904173115,0.0,5.39863087649713,100,100,3
pc7,0.0343997004628181,0.031691588759422254,0.0027081117033958477,0.0025659069451503527,0.0028336454671807646,0.0,5.370750056430792,100,100,4
pc7,0.03779759675264354,0.027700535040348716,0.010097061712294825,0.009920528994407504,0.01028233190299944,0.0,15.376018196058327,100,100,5
pc7,0.0393102995678782,0.025118428505957083,0.01419187106192112,0.013974735548254106,0.014390425392426538,0.0,19.176156856674012,100,100,6
pc7,0.038847142867743926,0.02592059837654229,0.012926544491201637,0.012726891512051225,0.013120214442256837,0.0,18.260148156839758,100,100,7
pc7,0.03971220754086967,0.02501098202541466,0.014701225515455007,0.01450222859624773,0.014868679493665691,0.0,22.194499767426244,100,100,8
pc7,0.03918887909501786,0.025591556634753893,0.013597322460263964,0.013383699571248145,0.013826272496953607,0.0,16.553151979085733,100,100,9
pc7,0.0381673530861735,0.02248874939978118,0.01567860368639232,0.015401247404981416,0.015955588150303825,0.0,15.746859226802407,100,100,10
pc7,0.03822158945724364,0.029028276093304113,0.009193313363939526,0.008220158737618475,0.010197303240187458,0.0,2.6829954882470837,100,100,11
pc8,0.03399140957742925,0.019369532261043737,0.014621877316385513,0.014595280700828885,0.014650026827119285,0.0,143.79266364361894,100,100,0
pc8,0.030367208365350916,0.019046214297413776,0.01132099406793714,0.011287609654478736,0.011353194124996665,0.0,94.80724200174734,100,100,1
pc8,0.031226929966360287,0.01859819263219829,0.012628737334161998,0.012583804999478162,0.01266950321244075,0.0,81.45038773231066,100,100,2
pc8,0.031153953261673407,0.01833175078034396,0.012822202481329446,0.012761720250826338,0.012882030109874907,0.0,58.4378054921579,100,100,3
pc8,0.03242784671485419,0.017382092475891064,0.015045754238963129,0.01495286561362446,0.01514428653428331,0.0,42.666550819321536,100,100,4
pc8,0.02998572394251819,0.01688560424372549,0.013100119698792701,0.013010660025291141,0.013187886827625341,0.0,38.62077047694717,100,100,5
pc8,0.029008539319038348,0.01563717634417112,0.013371362974867226,0.013265132729196917,0.013475619046250354,0.0,34.035536434278576,100,100,6
pc8,0.027369311023503488,0.015122919958084777,0.012246391065418711,0.012107949555385855,0.012369309688452622,0.0,26.214113239774587,100,100,7
pc8,0.02644684704020615,0.014532594112679313,0.011914252927526837,0.011734583265613758,0.01210455758962781,0.0,17.653978698132075,100,100,8
pc8,0.025072628837078767,0.015262477966025425,0.009810150871053342,0.009439039307413624,0.010135169925168153,0.0,8.048553049384271,100,100,9
pc8,0.025067198425531338,0.015689196400344323,0.009378002025187016,0.008826664012158295,0.009894765768665822,0.0,5.084368129587492,100,100,10
