metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,level_from,level_to,q_value
G,0.9310588068564734,0.9293411739189474,0.0017176329375259147,-0.00038379279275745635,0.0036054948677738644,0.098,0.23719724188115007,100,100,6,7,8,0.10376470588235294
G,0.938360231568889,0.9337010952537024,0.004659136315186663,0.002724214814875317,0.0063370344322589865,0.0,0.7096307907887404,100,100,6,8,9,0.0
G,0.9223993912831184,0.9116570033379019,0.010742387945216536,0.00810802196323386,0.013418819822323427,0.0,1.1003927722504112,100,100,6,9,10,0.0
G,0.9336595253372003,0.9016856896267051,0.03197383571049517,0.029862928664908937,0.033989779594954556,0.0,4.004041999079586,100,100,7,1,2,0.0
G,0.9661563943936712,0.8951817585603585,0.07097463583331265,0.06892267733386549,0.07279728485738458,0.0,9.327989004760136,100,100,7,2,3,0.0
G,0.9511593810882835,0.9200846168512389,0.031074764237044583,0.02946788688048966,0.0327483941263151,0.0,5.311590618276161,100,100,7,3,4,0.0
G,0.9304568439651102,0.9205898228978354,0.009867021067274773,0.008032566637604707,0.01162242155343541,0.0,1.4727470070210342,100,100,7,4,5,0.0
G,0.9367457330614802,0.9127093707578523,0.024036362303627934,0.021092588664213013,0.026933834402227994,0.0,2.2613277729372574,100,100,7,5,6,0.0
G,0.9193809525536168,0.9182740616840974,0.001106890869519428,-0.0013068833845710532,0.0036725994241853604,0.386,0.122653827315943,100,100,7,6,7,0.40084615384615385
G,0.9236054742341004,0.9217037518625222,0.0019017223715782627,-0.0002541311247715949,0.004158289524321418,0.076,0.2347502549346319,100,100,7,7,8,0.08208
G,0.931972180624803,0.9269083029329777,0.005063877691825369,0.0033447433428277357,0.006864939273278808,0.0,0.7687690359723095,100,100,7,8,9,0.0
G,0.9150385493063737,0.9031365100547433,0.01190203925163047,0.009292426376009213,0.014848065706638111,0.0,1.1689719925361233,100,100,7,9,10,0.0
G,0.9223552953298129,0.8778933145153143,0.04446198081449859,0.042012878046528035,0.04690618646472453,0.0,4.934339266400842,100,100,8,1,2,0.0
G,0.9591137150658501,0.8732789282831881,0.08583478678266199,0.08336174953459277,0.08823817033447187,0.0,10.304030946923765,100,100,8,2,3,0.0
G,0.9394551852496845,0.9059332946330781,0.033521890616606376,0.03165516217595756,0.03534797992926282,0.0,5.027500851285035,100,100,8,3,4,0.0
G,0.919686651396373,0.9070299389064312,0.012656712489941713,0.010680039644797346,0.014696704970193791,0.0,1.7149466202530599,100,100,8,4,5,0.0
G,0.925408962438031,0.8972331190520809,0.028175843385950028,0.025591355297312168,0.03092056302397489,0.0,2.763278470087168,100,100,8,5,6,0.0
G,0.906943682201798,0.9035299233198165,0.003413758881981477,0.0006670630321141819,0.006082105093212753,0.018,0.33337361920606357,100,100,8,6,7,0.01983673469387755
G,0.9152801043102664,0.9131396406080041,0.0021404637022622852,-0.00036399743270772996,0.004796098251144012,0.092,0.235040399400513,100,100,8,7,8,0.09837623762376238
G,0.9231438698830112,0.9163989608339846,0.006744909049026582,0.004750408607803925,0.008690094752657153,0.0,0.8763908821787345,100,100,8,8,9,0.0
G,0.9062440181932753,0.8913483718780297,0.014895646315245537,0.01186786736369384,0.0180766045087507,0.0,1.3843171524774018,100,100,8,9,10,0.0
G,0.9087649276663388,0.8635718324411482,0.04519309522519055,0.042507525543750424,0.04803535836418221,0.0,4.667777787277644,100,100,9,1,2,0.0
G,0.9434991974532604,0.8450504064928919,0.09844879096036852,0.09584680484571156,0.10085395216650907,0.0,10.552939869519157,100,100,9,2,3,0.0
G,0.9161881340586003,0.8867239547206295,0.029464179337970853,0.026994431329341276,0.03165734046997999,0.0,3.3576667951611627,100,100,9,3,4,0.0
G,0.9037306334267532,0.8899293533653494,0.013801280061403798,0.011178471345702578,0.016217092093411243,0.0,1.5441133430979637,100,100,9,4,5,0.0
G,0.9102273352500937,0.8692175805431509,0.04100975470694279,0.03800961842050846,0.044054987114017785,0.0,3.7343937591556227,100,100,9,5,6,0.0
G,0.88944836046866,0.8766203135436489,0.01282804692501116,0.009524783623833567,0.015812552277436293,0.0,1.1695404493999082,100,100,9,6,7,0.0
G,0.9051607954554141,0.8959288475636451,0.009231947891768955,0.0064319727051594024,0.012285130000114358,0.0,0.9005699228382642,100,100,9,7,8,0.0
G,0.9064211156898074,0.9132919554024461,-0.006870839712638688,-0.009440355706817801,-0.0043843245013485445,0.0,-0.7409014602960768,100,100,9,8,9,0.0
G,0.8994594455976335,0.8786996938136834,0.020759751783950064,0.01708405438667501,0.024322981151004116,0.0,1.5580256858210506,100,100,9,9,10,0.0
G,0.9036646789790147,0.8486758909476183,0.054988788031396396,0.05181503956625362,0.057905085895021344,0.0,4.9031914295666414,100,100,10,1,2,0.0
G,0.9299915057326121,0.8157559590363311,0.114235546696281,0.11155049475844186,0.11701749238115208,0.0,11.203148884927051,100,100,10,2,3,0.0
G,0.8922951851964942,0.8629025142840924,0.02939267091240183,0.026314182675227966,0.03235975525124918,0.0,2.659531710998537,100,100,10,3,4,0.0
G,0.8800280966990521,0.8618237415358184,0.01820435516323371,0.015197389899939368,0.021249812854187443,0.0,1.6196427931148263,100,100,10,4,5,0.0
G,0.8890152801790883,0.8448774369160337,0.04413784326305459,0.040689313468561764,0.047804661626640745,0.0,3.307576617501115,100,100,10,5,6,0.0
G,0.880636079545059,0.8487046800355117,0.031931399509547265,0.02822207068715774,0.03540933843789588,0.0,2.5348097410349015,100,100,10,6,7,0.0
G,0.8914864649611807,0.8695954286437186,0.02189103631746203,0.01819376450450621,0.02582444140713604,0.0,1.598275437343205,100,100,10,7,8,0.0
G,0.8841050925552846,0.915507126767011,-0.03140203421172638,-0.0342750866725447,-0.028486282974635232,0.0,-2.8796287386259314,100,100,10,8,9,0.0
G,0.8779026079877975,0.8808856196640029,-0.002983011676205405,-0.0073392280822350085,0.0013894514890299403,0.202,-0.18318943392923226,100,100,10,9,10,0.21180582524271846
G,0.8662316281596819,0.7600900032643287,0.10614162489535317,0.10113834281413564,0.11087150438235145,0.0,5.9449233723701616,100,100,11,1,2,0.0
G,0.9519234773866714,0.729125147091964,0.22279833029470741,0.21681725891497394,0.22813253075297737,0.0,10.989740393284984,100,100,11,2,3,0.0
G,0.8986539387395457,0.8039617744154399,0.09469216432410577,0.09097683616182414,0.09881694957609218,0.0,6.419664048723536,100,100,11,3,4,0.0
G,0.8146669876433553,0.8564554188852272,-0.041788431241871926,-0.046436688091877835,-0.037143796749838705,0.0,-2.3907764978503763,100,100,11,4,5,0.0
G,0.8684580710099804,0.8143884133966196,0.0540696576133608,0.04980836785343413,0.05820042260614424,0.0,3.6830158142701697,100,100,11,5,6,0.0
G,0.8273109886248905,0.821218696071988,0.006092292552902445,0.0014567432799866553,0.011249842155902239,0.018,0.33859264183732835,100,100,11,6,7,0.01983673469387755
G,0.8526879528973782,0.8221247864006058,0.030563166496772376,0.02438738963524741,0.0363183850902416,0.0,1.3949017079590451,100,100,11,7,8,0.0
G,0.8818670766140733,0.8831384402229671,-0.001271363608893794,-0.0063726046337378665,0.003906557715979807,0.66,-0.06908322052151133,100,100,11,8,9,0.6724528301886793
G,0.8313886930157266,0.8588148426782517,-0.0274261496625251,-0.03362798901341044,-0.021997136418048607,0.0,-1.2819434165712507,100,100,11,9,10,0.0
