layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
1,81,0.26848697662353516,0.20631109178066254,0.15310822427272797,0.11987708508968353,0.09657087177038193,0.07746332138776779,0.04947769641876221,0.019595827907323837,0.0008434804622083902,0.0006968827219679952,6,6,7,sentence.3
2,81,0.27677926421165466,0.20122027397155762,0.14900019764900208,0.1124957725405693,0.09570199251174927,0.07803686708211899,0.048644423484802246,0.020924855023622513,0.0016792123205959797,0.0014351506251841784,6,6,7,sentence.3
3,81,0.26641878485679626,0.20037485659122467,0.1485619843006134,0.11402091383934021,0.08982942998409271,0.08142819255590439,0.046055540442466736,0.023730119690299034,0.003466833382844925,0.0025129406712949276,6,6,8,sentence.3
4,81,0.26238977909088135,0.19351083040237427,0.14688444137573242,0.11943637579679489,0.08928795903921127,0.0769178569316864,0.04938286915421486,0.02457149513065815,0.004297488834708929,0.0032556094229221344,6,7,8,sentence.3
5,81,0.2692081332206726,0.18837174773216248,0.14720548689365387,0.12223434448242188,0.08371225744485855,0.07389353960752487,0.046969156712293625,0.02360321767628193,0.005303082522004843,0.0035999624524265528,6,7,8,sentence.3
6,81,0.26617661118507385,0.18949174880981445,0.14984984695911407,0.12360195070505142,0.07786840200424194,0.06942971795797348,0.04577835276722908,0.02516813576221466,0.0057857222855091095,0.005326470360159874,6,7,9,sentence.3
7,81,0.2669570744037628,0.19318625330924988,0.14576449990272522,0.11798297613859177,0.07593916356563568,0.06748642772436142,0.04497743397951126,0.024677392095327377,0.0069062900729477406,0.005397220142185688,6,7,11,sentence.3
8,81,0.2656060457229614,0.19641287624835968,0.13953888416290283,0.11470303684473038,0.0777994766831398,0.06399564445018768,0.041930072009563446,0.02524787187576294,0.008296089246869087,0.006324844900518656,6,8,12,sentence.3
9,81,0.257611483335495,0.19474086165428162,0.14188127219676971,0.11318772286176682,0.07312998920679092,0.0615822859108448,0.04196982458233833,0.02585369162261486,0.009631006978452206,0.008252198807895184,7,8,15,sentence.3
10,81,0.263383150100708,0.1851627379655838,0.14336158335208893,0.10805666446685791,0.06707527488470078,0.054706718772649765,0.04389346018433571,0.026218943297863007,0.011693621054291725,0.010261674411594868,7,9,17,sentence.3
11,81,0.36369019746780396,0.17563886940479279,0.1153900995850563,0.0854409858584404,0.05223860964179039,0.04097084701061249,0.03819873929023743,0.026439489796757698,0.012467466294765472,0.010295214131474495,7,9,16,sentence.3
0,81,0.2509836256504059,0.20712746679782867,0.16380664706230164,0.11628533154726028,0.10268387943506241,0.07711147516965866,0.05488271266222,0.01830194517970085,0.0006936715799383819,0.0006480198935605586,6,6,7,sentence.4
1,81,0.26870763301849365,0.20530128479003906,0.15311981737613678,0.12005554884672165,0.0968005359172821,0.07761453837156296,0.04953543096780777,0.019598722457885742,0.0008010902092792094,0.0006634098826907575,6,6,7,sentence.4
2,81,0.27738532423973083,0.19983667135238647,0.1486404687166214,0.11310245096683502,0.09603619575500488,0.07821634411811829,0.04865134879946709,0.020901791751384735,0.001558634452521801,0.0013584292028099298,6,6,7,sentence.4
3,81,0.2675836384296417,0.19904111325740814,0.1486818492412567,0.11401934176683426,0.0903654620051384,0.081550732254982,0.04595879837870598,0.023538291454315186,0.0030318177305161953,0.002351677743718028,6,6,8,sentence.4
4,81,0.2628108263015747,0.19284310936927795,0.14668607711791992,0.11917222291231155,0.09023170173168182,0.07700735330581665,0.049316152930259705,0.024359125643968582,0.0038230582140386105,0.0031653789337724447,6,7,8,sentence.4
5,81,0.2703282833099365,0.1875057816505432,0.147467240691185,0.12151692807674408,0.08459006249904633,0.07402749359607697,0.04678022861480713,0.023281866684556007,0.004725780338048935,0.0032895319163799286,6,7,8,sentence.4
6,81,0.26837342977523804,0.1889234483242035,0.14899125695228577,0.1232001855969429,0.078710176050663,0.06961620599031448,0.045243170112371445,0.02486775629222393,0.005252862349152565,0.004683479201048613,6,7,9,sentence.4
7,81,0.269106388092041,0.1922161728143692,0.14546315371990204,0.11784425377845764,0.076274573802948,0.06763634830713272,0.04464464634656906,0.024491917341947556,0.0065493518486619,0.005053834058344364,6,7,11,sentence.4
8,81,0.2675410509109497,0.19593563675880432,0.13885901868343353,0.11433297395706177,0.07812223583459854,0.06466690450906754,0.0416032150387764,0.024903003126382828,0.00764337508007884,0.006198829971253872,6,7,12,sentence.4
9,81,0.2590460181236267,0.19526873528957367,0.14104753732681274,0.11240440607070923,0.07300277799367905,0.06239598989486694,0.04174372926354408,0.025256182998418808,0.009114118292927742,0.008234365843236446,7,8,15,sentence.4
10,81,0.2643912136554718,0.1871240735054016,0.1425408124923706,0.10637475550174713,0.06700416654348373,0.055758390575647354,0.04345249757170677,0.02513950690627098,0.010956902988255024,0.010266993194818497,7,9,17,sentence.4
11,81,0.37562403082847595,0.17345468699932098,0.11158774793148041,0.08275789022445679,0.052312228828668594,0.040930457413196564,0.03881846368312836,0.023688655346632004,0.011272327974438667,0.010262036696076393,7,9,16,sentence.4
0,81,0.2510652542114258,0.20753169059753418,0.163953959941864,0.11636783927679062,0.10242113471031189,0.07705724984407425,0.055043693631887436,0.0182854775339365,0.0006743260310031474,0.0006112162955105305,6,6,7,sentence.5
1,81,0.2678695321083069,0.20587663352489471,0.15371669828891754,0.11990959942340851,0.09683655947446823,0.07763982564210892,0.04970342293381691,0.019592510536313057,0.000782995717599988,0.0006671615992672741,6,6,7,sentence.5
2,81,0.27616652846336365,0.20059145987033844,0.14968763291835785,0.1127186045050621,0.09592073410749435,0.07845558971166611,0.04887475445866585,0.020987821742892265,0.001579862437210977,0.0013691462809219956,6,6,7,sentence.5
3,81,0.2660719156265259,0.20014047622680664,0.14938987791538239,0.1138305813074112,0.0902247428894043,0.08198967576026917,0.04612953960895538,0.023714164271950722,0.003416302613914013,0.0023824770469218493,6,6,8,sentence.5
4,81,0.2616693675518036,0.19333606958389282,0.14785362780094147,0.11889272183179855,0.09011892974376678,0.07779186964035034,0.04942692816257477,0.024626748636364937,0.0041699460707604885,0.0032001871149986982,6,7,8,sentence.5
5,81,0.2679423987865448,0.18803711235523224,0.1488073468208313,0.12204007059335709,0.08478394150733948,0.07444537431001663,0.04710856452584267,0.023689361289143562,0.00512221734970808,0.0035677615087479353,6,7,8,sentence.5
6,81,0.26463234424591064,0.18920840322971344,0.1514701545238495,0.12371622771024704,0.0784948319196701,0.07014943659305573,0.045896634459495544,0.02534840628504753,0.005735269747674465,0.005242797080427408,6,7,9,sentence.5
