layer,neuron_idx,score
5,1284,0.6720907092094421
6,2678,1.3540266752243042
6,459,1.101496696472168
6,613,-1.0701102018356323
6,296,-1.0541635751724243
6,1177,-1.0017801523208618
6,2245,-0.9562591314315796
6,2222,0.9430084228515625
6,2137,-0.94288569688797
6,1245,-0.9133960604667664
6,810,0.9120876789093018
6,584,-0.910206139087677
6,789,-0.9093144536018372
6,2599,0.8700445294380188
6,2802,0.8690524101257324
6,1753,0.8669432401657104
6,723,0.8397539854049683
6,444,0.8213853240013123
6,407,-0.8171077370643616
6,2584,-0.8144091963768005
6,607,-0.8114761114120483
6,2631,-0.8095234632492065
6,1557,0.8090452551841736
6,1368,0.8078780770301819
6,1293,0.805327832698822
6,3067,-0.7979496121406555
6,1283,0.7950975894927979
6,807,-0.7911540865898132
6,1744,-0.7778671383857727
6,1546,0.776429295539856
6,2883,0.7435998916625977
6,2663,0.7392272353172302
6,2590,0.7385996580123901
6,1424,-0.7348953485488892
6,1377,-0.7326877117156982
6,1369,0.7260797619819641
6,808,-0.7210586071014404
6,2093,0.7144911885261536
6,1477,0.7105600237846375
6,1924,0.7094491124153137
6,2016,-0.7086461782455444
6,2980,-0.7039119601249695
6,827,0.7036738991737366
6,2879,0.7036538124084473
6,1059,0.7021188139915466
6,2542,-0.7006438970565796
6,578,0.698182225227356
6,2963,-0.6913873553276062
6,1384,-0.6892304420471191
6,412,0.6727394461631775
6,323,-0.668516218662262
7,587,1.2481200695037842
7,317,1.1525659561157227
7,2626,1.0954822301864624
7,1282,1.0403259992599487
7,2402,1.0361005067825317
7,1713,1.0157124996185303
7,1992,-0.9808001518249512
7,732,0.9690582156181335
7,862,-0.9665341377258301
7,2231,0.9640786051750183
7,569,0.9551735520362854
7,1729,-0.9530184268951416
7,387,-0.9415662288665771
7,57,0.9385767579078674
7,1314,0.9181860089302063
7,825,0.9059213995933533
7,2373,0.8585789203643799
7,2341,-0.8476495742797852
7,240,-0.8468648195266724
7,1772,-0.8361326456069946
7,1256,-0.826127290725708
7,1202,0.8226665258407593
7,1241,0.8221889138221741
7,1500,-0.8099378943443298
7,1674,0.7934752702713013
7,2426,-0.7836636900901794
7,1546,-0.7831593751907349
7,741,0.7731391191482544
7,2917,0.7608281970024109
7,2383,-0.750338613986969
7,2647,0.7472987174987793
7,2397,-0.7466147541999817
7,425,-0.7381600141525269
7,1112,0.7370340824127197
7,958,0.7346596121788025
7,926,-0.7241097092628479
7,1663,0.7216272950172424
7,2116,-0.7187172174453735
7,1941,-0.7148775458335876
7,1007,0.7134812474250793
7,2084,0.711615800857544
7,2938,-0.7048906087875366
7,3048,-0.7008191347122192
7,457,-0.6998046040534973
7,1195,-0.6947005391120911
7,2410,-0.6887868642807007
7,1862,0.6872586607933044
7,1771,-0.6834700107574463
7,1409,-0.6829913258552551
7,703,0.6773355603218079
8,2961,-1.163063645362854
8,2002,1.1411738395690918
8,779,-1.1334465742111206
8,2653,-1.1232798099517822
8,599,-1.0607014894485474
8,2909,1.0200204849243164
8,2094,0.9953673481941223
8,2879,-0.9685101509094238
8,2262,0.9337676167488098
8,3032,-0.9323102831840515
8,188,0.9276295900344849
8,2848,0.9206121563911438
8,447,-0.9191890358924866
8,1981,-0.9118908643722534
8,2713,-0.883528470993042
8,2830,0.873478353023529
8,1140,0.8624634742736816
8,2784,-0.8619247078895569
8,1172,-0.8568192720413208
8,629,-0.853590726852417
8,1558,0.8534582853317261
8,2768,-0.8501575589179993
8,1855,-0.8190961480140686
8,553,-0.814994752407074
8,1999,-0.8039565682411194
8,1879,0.8002185225486755
8,2579,-0.7915114760398865
8,1422,0.7900558114051819
8,2026,0.7875847220420837
8,362,-0.781944990158081
8,2650,-0.7785516381263733
8,131,0.7773274183273315
8,2374,-0.7737719416618347
8,752,-0.7666541337966919
8,2524,-0.7628082633018494
8,1286,-0.7619719505310059
8,1064,-0.7586877942085266
8,2910,0.7569873929023743
8,1601,0.7568017840385437
8,908,-0.7536265850067139
8,2134,-0.7438159584999084
8,1690,-0.7396329045295715
8,3020,-0.7358375787734985
8,1813,0.7344082593917847
8,692,-0.7338693141937256
8,425,-0.729027271270752
8,1725,0.725915789604187
8,868,-0.7251845598220825
8,3043,0.7217985391616821
8,2925,-0.7140271067619324
9,374,-2.6387312412261963
9,1334,1.7499971389770508
