layer,neuron_idx,score
7,1319,-0.7080131769180298
7,411,-0.7031660676002502
7,73,-0.7021620273590088
7,824,-0.7012879848480225
7,1695,-0.701249897480011
8,41,-0.8561637997627258
8,1093,0.8434600830078125
8,1313,0.842857301235199
8,2040,-0.8255780935287476
8,337,-0.8190534710884094
8,2517,0.8157824873924255
8,733,-0.8063716888427734
8,1611,0.8003993034362793
8,2131,-0.8003901839256287
8,2340,0.798037052154541
8,2483,-0.7962619066238403
8,744,0.793971598148346
8,1930,0.7896268367767334
8,406,-0.7847028970718384
8,450,0.7830467224121094
8,3032,-0.7722697257995605
8,1078,-0.767025351524353
8,1243,-0.765634298324585
8,2077,-0.7646491527557373
8,1818,0.7613939642906189
8,2749,0.7607986330986023
8,2800,-0.7555639743804932
8,1504,0.7474309802055359
8,2743,-0.7458820939064026
8,610,-0.7451449632644653
8,138,0.7433515191078186
8,1884,0.7432420253753662
8,2472,-0.7416272163391113
8,2330,0.7412198781967163
8,135,0.7388808131217957
8,2212,-0.738762378692627
8,2687,0.734777569770813
8,2329,-0.7344510555267334
8,2006,-0.7331384420394897
8,254,-0.7327147126197815
8,2639,-0.7296765446662903
8,2888,0.7293747663497925
8,1691,0.7263196110725403
8,2345,0.7241346836090088
8,836,0.7236855626106262
8,777,0.7234450578689575
8,2930,0.7232632637023926
8,2278,-0.7222068309783936
8,295,-0.7209039926528931
8,2199,-0.7202160954475403
8,1075,0.7198539972305298
8,2951,0.7185772061347961
8,1960,0.71806401014328
8,96,-0.7179211974143982
8,2238,-0.7179086208343506
9,6,0.8904182314872742
9,1169,0.8406925201416016
9,2937,-0.8361496925354004
9,2936,0.8285156488418579
9,755,-0.8208827376365662
9,57,0.8145023584365845
9,588,-0.808607280254364
9,413,-0.8028925657272339
9,2489,0.8007069826126099
9,2811,0.7951769232749939
9,1980,0.7948604226112366
9,1100,0.7947953939437866
9,1504,-0.7886468768119812
9,316,0.7863801717758179
9,2744,0.7847534418106079
9,1724,0.7839085459709167
9,186,-0.7835617661476135
9,2241,-0.7811968326568604
9,541,-0.7801319360733032
9,2194,-0.7785788178443909
9,487,-0.7770385146141052
9,2116,-0.7750808000564575
9,2697,-0.7741718292236328
9,2558,-0.7730165719985962
9,784,-0.7716199159622192
9,2708,0.7690542340278625
9,434,0.7689966559410095
9,2891,0.7676630616188049
9,990,0.7659637928009033
9,1320,-0.765478789806366
9,2019,0.7617378234863281
9,2760,-0.7614636421203613
9,2411,-0.7607368230819702
9,1118,-0.7589656710624695
9,9,-0.7587042450904846
9,22,0.7574118971824646
9,1359,-0.7529615759849548
9,537,0.7520290613174438
9,1457,0.7500286102294922
9,264,0.7485884428024292
9,598,0.7484394311904907
9,858,-0.748001754283905
9,1517,0.7472506761550903
9,348,0.7469759583473206
9,2059,-0.7452478408813477
9,1872,0.7445459365844727
9,1187,0.7444449663162231
9,257,-0.7428688406944275
9,833,0.7414815425872803
9,143,0.7402273416519165
10,3051,0.8472179174423218
10,2614,-0.8464875817298889
10,313,0.8443176746368408
10,2638,0.8420438170433044
10,2011,0.8253597617149353
10,3058,-0.8182389736175537
10,1557,0.8030670881271362
10,1972,0.795962929725647
10,212,0.7829437255859375
10,401,0.7806809544563293
10,2074,-0.7747723460197449
10,611,0.7740136384963989
10,334,0.7738016247749329
10,1352,0.7688893675804138
10,251,-0.7646982073783875
10,535,0.7631837725639343
10,2643,-0.7597915530204773
10,155,0.7590032815933228
10,1883,0.7574912905693054
10,2579,0.7526313662528992
10,2633,0.7521165013313293
10,2494,0.7482691407203674
10,1366,-0.7468733787536621
10,2330,-0.744982898235321
10,2770,0.7438589334487915
10,1116,0.742972731590271
10,620,0.7423506379127502
10,1278,0.741865336894989
10,2265,-0.7398865818977356
10,2328,0.7396672964096069
10,2270,-0.7363004684448242
10,2927,0.7361915707588196
10,2663,-0.7359939217567444
10,2382,0.7357668876647949
10,1139,-0.7340428233146667
10,1023,-0.7322471737861633
10,1098,-0.7283504009246826
10,2054,0.7272263765335083
10,1966,0.7247095704078674
10,869,-0.7224453687667847
10,1249,0.7200490832328796
10,1956,0.7190372943878174
10,1365,0.7185594439506531
10,222,-0.7182702422142029
10,1870,0.7156422138214111
10,1815,-0.7153518795967102
10,2915,0.7149722576141357
10,1000,0.7128037810325623
10,497,0.7118670344352722
10,187,-0.7096220850944519
