metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
pc8,0.019855915848165703,0.01567701112478967,0.004178904723376033,0.004091759060975168,0.004271863128989941,0.0,12.411042433492065,100,100,1,0.0
pc8,0.019994352553039746,0.015698382072150664,0.004295970480889082,0.00423022045544349,0.004364030000520866,0.0,18.022865611413383,100,100,2,0.0
pc8,0.021693201679736332,0.017976001398637843,0.0037172002810984886,0.003286548675037931,0.00412719616899268,0.0,2.4372636271120127,100,100,3,0.0
pc8,0.020394263267517046,0.01666221886873241,0.0037320443987846376,0.003662276253569875,0.0038019968220032803,0.0,14.981899466492356,100,100,4,0.0
pc8,0.021287846490740732,0.019975231327116448,0.0013126151636242839,0.0008677719868719537,0.0017317463983781665,0.0,0.8259372383859935,100,100,5,0.0
pc8,0.021863971017301028,0.017260090131312567,0.004603880885988461,0.004401422174181788,0.004818605138454581,0.0,5.97961574052834,100,100,6,0.0
pc8,0.026210811696946577,0.017689463999122336,0.008521347697824241,0.008240142612718035,0.008810448795091358,0.0,8.458081556146352,100,100,7,0.0
pc8,0.025157190728932573,0.01614260369911785,0.009014587029814725,0.008629868359537798,0.00938933741906658,0.0,6.213350842413692,100,100,8,0.0
pc8,0.02509629447013135,0.01443853856064374,0.010657755909487608,0.010278693971224126,0.01107843279326335,0.0,7.345605075734462,100,100,9,0.0
pc8,0.031136912629008247,0.01165599170140917,0.01948092092759908,0.01908688901760616,0.019838808370986963,0.0,14.450540583767252,100,100,10,0.0
pc8,0.009333311677910336,0.010863849874585819,-0.0015305381966754829,-0.0018563992693088971,-0.0012022217713529239,0.0,-1.2738591887310813,100,100,11,0.0
pc9,0.008234610841609494,0.009332045488990791,-0.0010974346473812974,-0.00149084361013955,-0.0006602927583735307,0.0,-0.7532454947921359,100,100,0,0.0
pc9,0.009450843888334885,0.010975828981026961,-0.0015249850926920758,-0.0019764851161744408,-0.0010680075174896051,0.0,-0.946950691491918,100,100,1,0.0
pc9,0.0086013405071571,0.010707860486581873,-0.0021065199794247733,-0.002466210267855783,-0.0017093292361823802,0.0,-1.5752945973241186,100,100,2,0.0
pc9,0.016634980468079402,0.01530235039070244,0.001332630077376962,0.0008196477366145632,0.0018292439957149338,0.0,0.7423596632515282,100,100,3,0.0
pc9,0.0113190424162894,0.011835086662322242,-0.0005160442460328419,-0.0009375549308024472,-7.925353921019895e-05,0.016,-0.32796214400318413,100,100,4,0.016
pc9,0.010846304050646668,0.01436226853169496,-0.0035159644810482914,-0.0038836536181624916,-0.0031590483951149553,0.0,-2.7334534637131247,100,100,5,0.0
pc9,0.01057636648416514,0.014037489797919946,-0.003461123313754805,-0.0037942935014143643,-0.0031445192319806753,0.0,-2.852268665735299,100,100,6,0.0
pc9,0.01140754312276835,0.013886864371597718,-0.002479321248829368,-0.0028768383974675086,-0.0020608376145828554,0.0,-1.6725595467253624,100,100,7,0.0
pc9,0.014150692690163806,0.01292339997366066,0.0012272927165031464,0.0008045452474616553,0.0016479533128440362,0.0,0.8140676693148108,100,100,8,0.0
pc9,0.017019451027736023,0.012723007630556771,0.004296443397179252,0.003830068738432604,0.004725869927089676,0.0,2.81741396287931,100,100,9,0.0
pc9,0.0178860947862267,0.010318926004692863,0.007567168781533837,0.007150046530063259,0.007985753449029293,0.0,4.561819275481112,100,100,10,0.0
pc9,0.006484650345519142,0.00795932829380031,-0.0014746779482811686,-0.0017168860159581484,-0.0012503545038634958,0.0,-1.6822929585578448,100,100,11,0.0
pc10,0.004530775684397621,0.0048220886173657605,-0.00029131293296813954,-0.0005315734246396513,-6.802579161013272e-05,0.014,-0.3379276456244245,100,100,0,0.015272727272727273
pc10,0.006415281873196313,0.007595886504277543,-0.0011806046310812298,-0.0014620567086385508,-0.0009203066290356291,0.0,-1.164523116109609,100,100,1,0.0
pc10,0.006750107528641766,0.008756507262587497,-0.0020063997339457313,-0.0023337809746153708,-0.0016716270140605051,0.0,-1.700653376915005,100,100,2,0.0
pc10,0.008168073669075916,0.009660483226180027,-0.0014924095571041112,-0.0017951334310928367,-0.0012090273095527672,0.0,-1.3220441608159945,100,100,3,0.0
pc10,0.007611992233432784,0.00994108938612039,-0.002329097152687605,-0.0026911478320835163,-0.0019855844504199846,0.0,-1.8598308206330132,100,100,4,0.0
pc10,0.007707905354909549,0.011140537597238976,-0.003432632242329427,-0.003749835875583816,-0.003092288029147322,0.0,-3.0375381330590128,100,100,5,0.0
pc10,0.008502985178492914,0.011661856994032813,-0.0031588718155398984,-0.0034872455303557167,-0.0028402633045334397,0.0,-2.6695316310336676,100,100,6,0.0
pc10,0.008674751506186969,0.011988458763807967,-0.0033137072576209983,-0.0036136665267404253,-0.0029966093434486566,0.0,-3.0814296818547713,100,100,7,0.0
pc10,0.010379630397073873,0.01059668279252942,-0.00021705239545554735,-0.0005827425011666578,0.0002111987089738271,0.278,-0.150851627462932,100,100,8,0.278
pc10,0.013035382200032426,0.01081610011868174,0.002219282081350686,0.0018523369506001513,0.002563293475192049,0.0,1.798951110897467,100,100,9,0.0
pc10,0.013623490547761272,0.008887743535451543,0.00473574701230973,0.0042863050603773436,0.005169357023900381,0.0,2.925235419098914,100,100,10,0.0
pc10,0.0052547049778513145,0.006905864356085608,-0.0016511593782342938,-0.0018287651952123205,-0.0014733059078571391,0.0,-2.592139949520633,100,100,11,0.0
k85,6.0,5.0,1.0,1.0,1.0,0.0,,100,100,0,0.0
k85,6.0,5.66,0.33999999999999986,0.25,0.4299999999999997,0.0,1.0099504938362074,100,100,1,0.0
k85,6.0,5.99,0.009999999999999787,0.0,0.03000000000000025,0.764,0.14142135623730648,100,100,2,0.7639999999999999
