layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
8,90,0.24029330909252167,0.1740218997001648,0.1618974208831787,0.10640013962984085,0.07123345881700516,0.059070806950330734,0.044055137783288956,0.026228537783026695,0.01536577008664608,0.014105544425547123,7,10,15,3
9,90,0.26318374276161194,0.16869930922985077,0.13587598502635956,0.12112452834844589,0.06118139624595642,0.0554044134914875,0.03844323754310608,0.02631053887307644,0.016520600765943527,0.015214032493531704,8,10,16,3
10,90,0.2641494870185852,0.19629982113838196,0.13725636899471283,0.1037382036447525,0.05075390636920929,0.04761895164847374,0.036823004484176636,0.03203364461660385,0.019536519423127174,0.01425155345350504,8,10,16,3
11,90,0.7671095728874207,0.04811013489961624,0.04039685055613518,0.03261616453528404,0.021388942375779152,0.017320511862635612,0.013187460601329803,0.00881374254822731,0.006408405490219593,0.005846395622938871,3,5,9,3
0,90,0.22100351750850677,0.19011542201042175,0.16423876583576202,0.1218486949801445,0.10752736777067184,0.0912284255027771,0.05509498715400696,0.022513655945658684,0.011336545459926128,0.00416849460452795,6,7,7,4
1,90,0.25733962655067444,0.17904219031333923,0.15817081928253174,0.1087021604180336,0.09560975432395935,0.08196871727705002,0.04858679696917534,0.01998399943113327,0.013173985294997692,0.008420979604125023,6,7,9,4
2,90,0.2125069946050644,0.189152792096138,0.17703954875469208,0.11214324831962585,0.09449560940265656,0.079043909907341,0.05285445228219032,0.019854001700878143,0.01234307512640953,0.009468795731663704,6,7,10,4
3,90,0.208119198679924,0.18979890644550323,0.16461528837680817,0.11511029303073883,0.09011007100343704,0.07271812111139297,0.052871670573949814,0.023560045287013054,0.02140376716852188,0.009795961901545525,7,8,11,4
4,90,0.2190278321504593,0.1814061552286148,0.15738996863365173,0.1294250190258026,0.08628913015127182,0.07359611988067627,0.05446186661720276,0.020635506138205528,0.015619814395904541,0.00979105569422245,7,7,11,4
5,90,0.22553256154060364,0.1977268010377884,0.14338235557079315,0.13335910439491272,0.08313576132059097,0.06372225284576416,0.05365994945168495,0.021628428250551224,0.01222010888159275,0.00928295124322176,7,7,11,4
6,90,0.23691129684448242,0.19734004139900208,0.1437782347202301,0.12352514266967773,0.08067720383405685,0.06070951744914055,0.0527224987745285,0.02230851538479328,0.011000486090779305,0.009225234389305115,7,8,12,4
7,90,0.24661554396152496,0.18091358244419098,0.13923773169517517,0.12653060257434845,0.07792864739894867,0.05981691554188728,0.05498937517404556,0.026997564360499382,0.011876949109137058,0.009145956486463547,7,8,12,4
8,90,0.24094688892364502,0.18039675056934357,0.1658661663532257,0.10664595663547516,0.07122057676315308,0.06014832481741905,0.045024335384368896,0.026594681665301323,0.01573747582733631,0.010573978535830975,7,9,14,4
9,90,0.25514504313468933,0.18288187682628632,0.13674165308475494,0.11906495690345764,0.06274784356355667,0.05614493042230606,0.040453385561704636,0.028006406500935555,0.018254615366458893,0.012806715443730354,7,10,15,4
10,90,0.2687649130821228,0.1956576406955719,0.1357395499944687,0.10249534249305725,0.05302635207772255,0.04777290299534798,0.041489068418741226,0.0333576463162899,0.021726137027144432,0.013050100766122341,8,9,15,4
11,90,0.7403962016105652,0.05416379123926163,0.044027458876371384,0.03693293407559395,0.025190921500325203,0.01954551972448826,0.01554415188729763,0.010367630049586296,0.008330272510647774,0.006604318507015705,4,5,9,4
0,90,0.22044648230075836,0.1899058222770691,0.16486382484436035,0.12169113755226135,0.10780491679906845,0.09048132598400116,0.05483134835958481,0.022546345368027687,0.009228754788637161,0.0031782726291567087,6,7,7,5
1,90,0.2401171773672104,0.18564559519290924,0.16014283895492554,0.1121070608496666,0.0998050794005394,0.08343251049518585,0.05011456087231636,0.020754296332597733,0.008676433004438877,0.006807056721299887,6,7,8,5
2,90,0.20954163372516632,0.18825237452983856,0.17986160516738892,0.1116931214928627,0.09874662011861801,0.08203763514757156,0.05285946652293205,0.020701447501778603,0.007971636950969696,0.006134432274848223,6,7,9,5
3,90,0.2069011926651001,0.1854240447282791,0.16906823217868805,0.11634882539510727,0.09530463069677353,0.07691530883312225,0.05307282507419586,0.02234060689806938,0.014855208806693554,0.006536633241921663,7,7,11,5
4,90,0.21730564534664154,0.18522799015045166,0.15619178116321564,0.12998905777931213,0.09061861783266068,0.07669292390346527,0.05410139262676239,0.020546644926071167,0.01017300970852375,0.007212946657091379,6,7,11,5
5,90,0.22020529210567474,0.20366548001766205,0.14285889267921448,0.1320798695087433,0.0870945155620575,0.06770607829093933,0.05234350264072418,0.021560337394475937,0.009866157546639442,0.007376059889793396,6,7,11,5
6,90,0.24044308066368103,0.19649182260036469,0.1390586495399475,0.12386172264814377,0.08350900560617447,0.06460302323102951,0.05037616193294525,0.022073326632380486,0.009522784501314163,0.008772401139140129,7,8,12,5
7,90,0.23827269673347473,0.17668354511260986,0.14020611345767975,0.12942084670066833,0.08094312250614166,0.06359180808067322,0.05755695328116417,0.027507532387971878,0.009005657397210598,0.008715634234249592,7,8,13,5
8,90,0.2238323986530304,0.18505828082561493,0.1645999550819397,0.1129482164978981,0.07551475614309311,0.06868745386600494,0.045275408774614334,0.026389194652438164,0.011604559607803822,0.009501934051513672,7,8,15,5
9,90,0.23291298747062683,0.1814330518245697,0.14347098767757416,0.1240936666727066,0.07431556284427643,0.05851896107196808,0.0439104363322258,0.0268123559653759,0.014063436537981033,0.012017518281936646,7,10,16,5
10,90,0.29034507274627686,0.18175625801086426,0.1309548020362854,0.11017321795225143,0.05581527575850487,0.04932722449302673,0.04354318231344223,0.03061804361641407,0.013722856529057026,0.011247025802731514,7,9,15,5
11,90,0.7155263423919678,0.058346543461084366,0.05089478939771652,0.04265604913234711,0.028058208525180817,0.022832438349723816,0.01878437027335167,0.011717056855559349,0.005947898607701063,0.004491882864385843,4,6,9,5
0,90,0.21915005147457123,0.1884283423423767,0.1669001281261444,0.12256904691457748,0.10733888298273087,0.08965080231428146,0.05434475839138031,0.022272121161222458,0.006056746933609247,0.004144692327827215,6,7,8,6
1,90,0.265168160200119,0.1771692931652069,0.15645048022270203,0.11213943362236023,0.09610294550657272,0.0788581520318985,0.048174113035202026,0.0193315576761961,0.007799387443810701,0.004440073389559984,6,7,8,6
2,90,0.21507053077220917,0.19011680781841278,0.17413711547851562,0.11412867158651352,0.09692887961864471,0.08001890033483505,0.05136757716536522,0.019952159374952316,0.007201738189905882,0.005191556643694639,6,7,10,6
3,90,0.20165936648845673,0.19537636637687683,0.16590753197669983,0.11603257060050964,0.09261851757764816,0.07523197680711746,0.05227302759885788,0.021327530965209007,0.013412253931164742,0.00805211253464222,7,8,12,6
4,90,0.20750832557678223,0.18292902410030365,0.16179366409778595,0.1333526074886322,0.0899902731180191,0.07417259365320206,0.054405126720666885,0.02017807587981224,0.010546606965363026,0.007372651714831591,7,7,12,6
5,90,0.2196853905916214,0.1914670616388321,0.14306411147117615,0.13567578792572021,0.08885577321052551,0.06740065664052963,0.052277322858572006,0.02029627375304699,0.01340646855533123,0.006953285075724125,7,8,13,6
6,90,0.24387240409851074,0.18466295301914215,0.14052681624889374,0.12230367213487625,0.08559050410985947,0.06391183286905289,0.049725521355867386,0.02050686627626419,0.012828581035137177,0.00903052557259798,7,8,13,6
7,90,0.24589623510837555,0.17115485668182373,0.14450523257255554,0.12290164828300476,0.08091207593679428,0.06242950260639191,0.052003808319568634,0.023517819121479988,0.01514850091189146,0.009123433381319046,7,8,15,6
