layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
7,81,0.283945232629776,0.1597522497177124,0.12001438438892365,0.10367695242166519,0.08970928937196732,0.06738098710775375,0.034113191068172455,0.018943767994642258,0.015002923086285591,0.010646738111972809,7,10,20,sentence.4
8,81,0.27192240953445435,0.17324025928974152,0.11402658373117447,0.09815353900194168,0.09366852790117264,0.06546623259782791,0.033861614763736725,0.019057389348745346,0.013354158960282803,0.01227786298841238,7,11,21,sentence.4
9,81,0.3043200373649597,0.16456004977226257,0.11831172555685043,0.08760132640600204,0.08053597807884216,0.05390891805291176,0.032502681016922,0.01978467032313347,0.016227729618549347,0.010846640914678574,8,12,22,sentence.4
10,81,0.4199773073196411,0.11571460217237473,0.10532399266958237,0.07032738626003265,0.06098350137472153,0.04903721436858177,0.02986733615398407,0.017585325986146927,0.01666979305446148,0.010777242481708527,7,11,22,sentence.4
11,81,0.6380640268325806,0.08290878683328629,0.05707298591732979,0.04197341203689575,0.03645583614706993,0.03137308731675148,0.018314702436327934,0.010398329235613346,0.00902376975864172,0.005413973703980446,5,7,15,sentence.4
0,81,0.2710498869419098,0.18736490607261658,0.15039266645908356,0.1265455037355423,0.09681496769189835,0.07969985157251358,0.04075844958424568,0.015674825757741928,0.010051816701889038,0.004656917415559292,6,6,7,sentence.5
1,81,0.28255295753479004,0.19473838806152344,0.12894004583358765,0.11160844564437866,0.09667979180812836,0.0706448033452034,0.03724382445216179,0.014744019135832787,0.011886524967849255,0.006488294806331396,6,7,10,sentence.5
2,81,0.24646401405334473,0.196070596575737,0.1436016708612442,0.1104607880115509,0.09331392496824265,0.07738093286752701,0.0387369804084301,0.015010080300271511,0.012080729007720947,0.007273645605891943,6,7,12,sentence.5
3,81,0.2447260469198227,0.18101125955581665,0.1413256824016571,0.1095336303114891,0.08463892340660095,0.07240703701972961,0.03866090252995491,0.022827763110399246,0.01575208455324173,0.011476517654955387,7,9,15,sentence.5
4,81,0.2516188323497772,0.17389139533042908,0.13674695789813995,0.11534252017736435,0.08075939863920212,0.07588231563568115,0.039226870983839035,0.020426549017429352,0.016767099499702454,0.00848530512303114,7,9,16,sentence.5
5,81,0.26695114374160767,0.17143461108207703,0.12500594556331635,0.1131606251001358,0.07997961342334747,0.07278863340616226,0.03801713138818741,0.01964668743312359,0.015716418623924255,0.009626301005482674,7,9,18,sentence.5
6,81,0.26985326409339905,0.15791809558868408,0.12487052381038666,0.10621092468500137,0.0870819091796875,0.07328621298074722,0.03724977374076843,0.019078951328992844,0.014576143585145473,0.010049686767160892,7,10,20,sentence.5
7,81,0.2795247435569763,0.15922383964061737,0.1186869814991951,0.10189048945903778,0.08705445379018784,0.06763818114995956,0.03449903801083565,0.018844956532120705,0.01477719284594059,0.011191579513251781,8,11,21,sentence.5
8,81,0.26916974782943726,0.1714835911989212,0.11451049894094467,0.09602674841880798,0.08869267255067825,0.06550256162881851,0.0335044302046299,0.01923876442015171,0.013169894926249981,0.012189367786049843,8,12,23,sentence.5
9,81,0.2926449179649353,0.16372200846672058,0.1104990690946579,0.08915397524833679,0.07925313711166382,0.0543343648314476,0.03319159895181656,0.021361511200666428,0.015886949375271797,0.011615579947829247,9,13,24,sentence.5
10,81,0.3931243121623993,0.11070398986339569,0.10822512954473495,0.07318231463432312,0.06294670701026917,0.048986222594976425,0.029786521568894386,0.021625669673085213,0.015847545117139816,0.011922447942197323,9,13,24,sentence.5
11,81,0.6188414096832275,0.08147907257080078,0.05883712321519852,0.04375242441892624,0.0377420112490654,0.031545884907245636,0.018611690029501915,0.01069341879338026,0.010126790031790733,0.007320295087993145,6,8,18,sentence.5
0,81,0.2700890898704529,0.18626540899276733,0.14980463683605194,0.12605053186416626,0.09652700275182724,0.07954227924346924,0.040754105895757675,0.015648985281586647,0.010024070739746094,0.004535779822617769,6,6,8,sentence.6
1,81,0.2759840190410614,0.19732853770256042,0.12936373054981232,0.11161693185567856,0.09589658677577972,0.07059594988822937,0.037133581936359406,0.014811405912041664,0.011503439396619797,0.0062907999381423,6,7,10,sentence.6
2,81,0.2456248700618744,0.19671545922756195,0.14200209081172943,0.10965049266815186,0.09207824617624283,0.0773862674832344,0.03840916231274605,0.01494540274143219,0.01185206975787878,0.007058315444737673,6,7,14,sentence.6
3,81,0.24387118220329285,0.18110299110412598,0.1399604231119156,0.10828232765197754,0.08324500918388367,0.07307970523834229,0.038578860461711884,0.02182401530444622,0.0156327523291111,0.011525467038154602,7,9,17,sentence.6
4,81,0.2500627934932709,0.17393119633197784,0.136090949177742,0.11431151628494263,0.07961557805538177,0.07687569409608841,0.038744207471609116,0.01988369971513748,0.016755610704421997,0.008246266283094883,7,9,18,sentence.6
5,81,0.26340451836586,0.17100821435451508,0.12551137804985046,0.11187723278999329,0.0801830068230629,0.07251304388046265,0.03797925263643265,0.019504403695464134,0.015794502571225166,0.008909491822123528,7,10,20,sentence.6
6,81,0.26429498195648193,0.15794917941093445,0.12614300847053528,0.10461492091417313,0.08733813464641571,0.07250970602035522,0.03718525916337967,0.01938997209072113,0.014563233591616154,0.010296715423464775,7,11,22,sentence.6
7,81,0.27471545338630676,0.15825451910495758,0.12009195238351822,0.10098078101873398,0.08714397251605988,0.06652138382196426,0.03393715247511864,0.019053712487220764,0.014758712612092495,0.011564940214157104,8,12,23,sentence.6
8,81,0.2615181803703308,0.1707930564880371,0.11557718366384506,0.0951167643070221,0.08854414522647858,0.06486351788043976,0.033362746238708496,0.01962118037045002,0.014175809919834137,0.01286817155778408,9,13,25,sentence.6
9,81,0.28028327226638794,0.16202133893966675,0.11446669697761536,0.09021783620119095,0.07872805744409561,0.05438761040568352,0.03329949453473091,0.02132454328238964,0.016493452712893486,0.012058415450155735,9,14,25,sentence.6
10,81,0.37768349051475525,0.11777914315462112,0.10383974760770798,0.07413637638092041,0.06160082295536995,0.04939103126525879,0.030455615371465683,0.021523533388972282,0.01716902107000351,0.013378884643316269,9,14,25,sentence.6
11,81,0.6143258810043335,0.08593039214611053,0.05654896795749664,0.04342515394091606,0.03663884103298187,0.030355829745531082,0.018375534564256668,0.010914444923400879,0.009990043006837368,0.008001677691936493,6,9,19,sentence.6
0,81,0.27044323086738586,0.18663406372070312,0.15061333775520325,0.12674400210380554,0.09683162719011307,0.07991073280572891,0.04092523828148842,0.015610597096383572,0.010052287019789219,0.00436632102355361,6,6,7,sentence.7
1,81,0.27801182866096497,0.19507911801338196,0.1301623284816742,0.11245926469564438,0.09699313342571259,0.07105877995491028,0.03749953210353851,0.014750255271792412,0.01190725527703762,0.0063467263244092464,6,7,10,sentence.7
2,81,0.2461049109697342,0.196286141872406,0.14373420178890228,0.11030197143554688,0.09306345880031586,0.07748483866453171,0.038630466908216476,0.014885317534208298,0.012144365347921848,0.0070399874821305275,6,7,13,sentence.7
3,81,0.24454213678836823,0.18145926296710968,0.14174754917621613,0.10919355601072311,0.08483561873435974,0.0731481984257698,0.03898027539253235,0.022002726793289185,0.015528994612395763,0.011392868123948574,7,9,15,sentence.7
4,81,0.2528117597103119,0.17421954870224,0.13633374869823456,0.11480548232793808,0.08078549802303314,0.07676182687282562,0.0391223318874836,0.01961982622742653,0.016642918810248375,0.008421950042247772,7,9,17,sentence.7
5,81,0.2689032554626465,0.17249268293380737,0.124726802110672,0.1118636429309845,0.0803600624203682,0.07303206622600555,0.037883367389440536,0.01872274838387966,0.015510222874581814,0.008934342302381992,7,9,18,sentence.7
6,81,0.2719350755214691,0.15948368608951569,0.12482947111129761,0.10383002460002899,0.08765873312950134,0.07384847104549408,0.037265270948410034,0.01849563792347908,0.014265275560319424,0.009915398433804512,7,10,20,sentence.7
7,81,0.28351420164108276,0.16077755391597748,0.12014467269182205,0.09963531792163849,0.0862625390291214,0.06708167493343353,0.03403308615088463,0.017408913001418114,0.014547702856361866,0.010828056372702122,7,11,21,sentence.7
8,81,0.2706965208053589,0.17201268672943115,0.11532582342624664,0.09582439810037613,0.08751837909221649,0.06493022292852402,0.03292775899171829,0.017965342849493027,0.013554590754210949,0.012709781527519226,8,12,23,sentence.7
9,81,0.29678642749786377,0.16266781091690063,0.10639040917158127,0.08943894505500793,0.08008477091789246,0.05482693761587143,0.0332464836537838,0.020395701751112938,0.015913881361484528,0.01184577401727438,9,14,24,sentence.7
10,81,0.41521528363227844,0.10834071785211563,0.09807506948709488,0.07138693332672119,0.06193448603153229,0.04765220731496811,0.028048794716596603,0.01950949802994728,0.01614346168935299,0.012275833636522293,8,13,24,sentence.7
11,81,0.6224549412727356,0.07857149094343185,0.05791169032454491,0.04381299763917923,0.037667568773031235,0.03155895695090294,0.018467707559466362,0.010993904434144497,0.009355634450912476,0.00775964604690671,6,8,18,sentence.7
