layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
1,90,0.2517109811306,0.191972017288208,0.1755191534757614,0.14363881945610046,0.10852973163127899,0.07169430702924728,0.03552956134080887,0.0126724224537611,0.0014698156155645847,0.0007688694749958813,5,6,7,7
2,90,0.24909304082393646,0.19408780336380005,0.16817256808280945,0.13823199272155762,0.11120548099279404,0.07297229021787643,0.035318419337272644,0.014800476841628551,0.0021961776074022055,0.0018003040459007025,5,6,7,7
3,90,0.26699280738830566,0.18791282176971436,0.1632905900478363,0.1308835744857788,0.10466869175434113,0.06866388022899628,0.034440018236637115,0.017940867692232132,0.0032605214510113,0.0026773258578032255,5,6,7,7
4,90,0.291655570268631,0.1822972446680069,0.15256652235984802,0.12037750333547592,0.10302349179983139,0.06912428885698318,0.03107416070997715,0.01737920008599758,0.00403099600225687,0.0033808236476033926,6,6,7,7
5,90,0.30166757106781006,0.1753557324409485,0.150264710187912,0.11363208293914795,0.10504759848117828,0.06855689734220505,0.03051936998963356,0.016718517988920212,0.00452325539663434,0.0038142972625792027,6,6,8,7
6,90,0.3099817931652069,0.16867272555828094,0.145565927028656,0.11697454750537872,0.10089389234781265,0.06557577103376389,0.03021695651113987,0.016052208840847015,0.005881768651306629,0.004130056593567133,6,6,8,7
7,90,0.33121854066848755,0.15895485877990723,0.13891060650348663,0.11932571232318878,0.09452265501022339,0.06010616198182106,0.029659470543265343,0.015494261868298054,0.0062123555690050125,0.004103704821318388,6,6,9,7
8,90,0.3302009105682373,0.15150494873523712,0.13934199512004852,0.12201414257287979,0.09226800501346588,0.05955270305275917,0.028752101585268974,0.015703627839684486,0.007552150636911392,0.004989494103938341,6,7,10,7
9,90,0.2996295690536499,0.1556382030248642,0.14660610258579254,0.12444844096899033,0.09602047502994537,0.057589415460824966,0.028039919212460518,0.01671760156750679,0.009468674659729004,0.0063325571827590466,6,7,12,7
10,90,0.28609368205070496,0.162353977560997,0.13753318786621094,0.11995227634906769,0.10197288542985916,0.057615976780653,0.025903543457388878,0.01912703365087509,0.010354754514992237,0.007864492014050484,6,8,14,7
11,90,0.4339059293270111,0.12833870947360992,0.1082991510629654,0.09554710239171982,0.06803438067436218,0.04194680601358414,0.018923550844192505,0.017697369679808617,0.010202617384493351,0.008118193596601486,6,8,14,7
0,90,0.24184750020503998,0.19452974200248718,0.1829320639371872,0.13821277022361755,0.11576007306575775,0.07309355586767197,0.033342961221933365,0.011969907209277153,0.00157135387416929,0.0010487015824764967,5,6,7,8
1,90,0.2532525360584259,0.19202877581119537,0.17449526488780975,0.14336659014225006,0.10936218500137329,0.07137079536914825,0.035513389855623245,0.012676041573286057,0.0016193519113585353,0.000831932236906141,5,6,7,8
2,90,0.2515333592891693,0.19238515198230743,0.16681788861751556,0.1391732543706894,0.11281289160251617,0.07312110811471939,0.03547638654708862,0.015116934664547443,0.0022981043439358473,0.0014883704716339707,5,6,7,8
3,90,0.2695547342300415,0.1909252405166626,0.16173380613327026,0.1294177770614624,0.10678382962942123,0.0686352476477623,0.03541010245680809,0.017240246757864952,0.002795568434521556,0.0022666689474135637,5,6,7,8
4,90,0.29008203744888306,0.18859578669071198,0.15369348227977753,0.11809568852186203,0.10536584258079529,0.07021548599004745,0.031505342572927475,0.016711696982383728,0.0032027142588049173,0.0028748749755322933,5,6,7,8
5,90,0.3013145327568054,0.17952972650527954,0.14934596419334412,0.11778426170349121,0.10444047302007675,0.06963648647069931,0.03144806995987892,0.01596100814640522,0.003753477241843939,0.003443932393565774,5,6,7,8
6,90,0.3133845031261444,0.17214933037757874,0.1449742168188095,0.11967591196298599,0.10203052312135696,0.06699728220701218,0.030560072511434555,0.015482626855373383,0.004571152850985527,0.0034942252095788717,5,6,8,8
7,90,0.33697110414505005,0.1612422913312912,0.1375192552804947,0.12200804054737091,0.09650202840566635,0.062285445630550385,0.02981938235461712,0.015185309574007988,0.005154922138899565,0.0039320578798651695,5,6,8,8
8,90,0.3394095301628113,0.15262338519096375,0.1407899111509323,0.12156207859516144,0.09440705180168152,0.06191388517618179,0.029792651534080505,0.015477033331990242,0.005665014963597059,0.004952164366841316,6,6,8,8
9,90,0.30934765934944153,0.16167791187763214,0.14902463555335999,0.12318599969148636,0.0973493680357933,0.06024739518761635,0.029286380857229233,0.01584741473197937,0.00749339209869504,0.006026410963386297,6,6,9,8
10,90,0.3000353276729584,0.16970038414001465,0.14111123979091644,0.11797243356704712,0.10447897017002106,0.058555394411087036,0.027224216610193253,0.017974253743886948,0.008332902565598488,0.006855552550405264,6,7,10,8
11,90,0.46923166513442993,0.12855644524097443,0.10596352815628052,0.09052500873804092,0.06993376463651657,0.04095706343650818,0.018778780475258827,0.01735490933060646,0.00895195547491312,0.006183747202157974,5,6,9,8
0,90,0.24200880527496338,0.19564887881278992,0.1830310970544815,0.13859203457832336,0.11500266939401627,0.07405383139848709,0.03336497023701668,0.011976637877523899,0.0007332934765145183,0.0004132431058678776,5,6,7,9
1,90,0.2529011070728302,0.192338764667511,0.1749996691942215,0.1439255326986313,0.10825958102941513,0.07215818017721176,0.035459913313388824,0.01268345769494772,0.0012269202852621675,0.000565092486795038,5,6,7,9
2,90,0.25118762254714966,0.193060502409935,0.16772064566612244,0.13968586921691895,0.11138035356998444,0.07332789897918701,0.03559237718582153,0.015074733644723892,0.0015856224345043302,0.001271418179385364,5,6,7,9
3,90,0.2694087028503418,0.1887441873550415,0.16369569301605225,0.1297902911901474,0.10531123727560043,0.06919384002685547,0.035219669342041016,0.017748739570379257,0.0029173563234508038,0.0018181789200752974,5,6,7,9
