2025-12-29 14:02:00,159 INFO src.capture: Last decoded tokens: [' experience', ' was', ' terrible']
2025-12-29 14:02:00,189 INFO src.capture: Last token ids: [1998, 373, 12361]
2025-12-29 14:02:00,190 INFO src.capture: Last decoded tokens: [' experience', ' was', ' horrible']
2025-12-29 14:02:00,220 INFO src.capture: Last token ids: [1998, 373, 35483]
2025-12-29 14:02:00,220 INFO src.capture: Last decoded tokens: [' experience', ' was', ' dreadful']
2025-12-29 14:02:49,802 INFO src.capture: Last token ids: [450, 893, 7617]
2025-12-29 14:02:49,803 INFO src.capture: Last decoded tokens: [' ab', 'ys', 'mal']
2025-12-29 14:02:50,663 INFO src.capture: Last token ids: [373, 38324, 4680]
2025-12-29 14:02:50,664 INFO src.capture: Last decoded tokens: [' was', ' atro', 'cious']
2025-12-29 14:02:50,774 INFO src.capture: Last token ids: [1998, 373, 12659]
2025-12-29 14:02:50,774 INFO src.capture: Last decoded tokens: [' experience', ' was', ' awful']
2025-12-29 14:02:50,892 INFO src.capture: Last token ids: [1998, 373, 7818]
2025-12-29 14:02:50,892 INFO src.capture: Last decoded tokens: [' experience', ' was', ' terrible']
2025-12-29 14:02:50,922 INFO src.capture: Last token ids: [1998, 373, 12361]
2025-12-29 14:02:50,922 INFO src.capture: Last decoded tokens: [' experience', ' was', ' horrible']
2025-12-29 14:02:50,955 INFO src.capture: Last token ids: [1998, 373, 35483]
2025-12-29 14:02:50,955 INFO src.capture: Last decoded tokens: [' experience', ' was', ' dreadful']
2025-12-29 14:03:05,724 INFO src.capture: Last token ids: [450, 893, 7617]
2025-12-29 14:03:05,724 INFO src.capture: Last decoded tokens: [' ab', 'ys', 'mal']
2025-12-29 14:03:06,503 INFO src.capture: Last token ids: [373, 38324, 4680]
2025-12-29 14:03:06,504 INFO src.capture: Last decoded tokens: [' was', ' atro', 'cious']
2025-12-29 14:03:06,615 INFO src.capture: Last token ids: [1998, 373, 12659]
2025-12-29 14:03:06,615 INFO src.capture: Last decoded tokens: [' experience', ' was', ' awful']
2025-12-29 14:03:06,723 INFO src.capture: Last token ids: [1998, 373, 7818]
2025-12-29 14:03:06,724 INFO src.capture: Last decoded tokens: [' experience', ' was', ' terrible']
2025-12-29 14:03:06,752 INFO src.capture: Last token ids: [1998, 373, 12361]
2025-12-29 14:03:06,752 INFO src.capture: Last decoded tokens: [' experience', ' was', ' horrible']
2025-12-29 14:03:06,782 INFO src.capture: Last token ids: [1998, 373, 35483]
2025-12-29 14:03:06,782 INFO src.capture: Last decoded tokens: [' experience', ' was', ' dreadful']
2025-12-29 14:21:48,774 INFO src.capture: Last token ids: [450, 893, 7617]
2025-12-29 14:21:48,775 INFO src.capture: Last decoded tokens: [' ab', 'ys', 'mal']
