metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
pc7,0.034616918973624664,0.02867743398994203,0.005939484983682634,0.005799198816530412,0.006082863240502772,0.0,11.467511734483047,100,100,1,0.0
pc7,0.03438676647841926,0.027572385910898403,0.0068143805675208585,0.006677907149307432,0.006943389266729348,0.0,13.607262363524107,100,100,2,0.0
pc7,0.03584544070065017,0.024312722403556072,0.011532718297094097,0.011317742275074127,0.011735628442838776,0.0,15.785871363628656,100,100,3,0.0
pc7,0.03560458764433856,0.024846255425363735,0.010758332218974827,0.01055359619762748,0.010983790849335482,0.0,13.82716093090773,100,100,4,0.0
pc7,0.030820796638727138,0.025392636321484998,0.00542816031724214,0.0050556396958418145,0.005791522200219321,0.0,4.013549044263095,100,100,5,0.0
pc7,0.03329645205289121,0.024242931697517588,0.009053520355373622,0.008729368773289024,0.009351351176388554,0.0,8.100378409662857,100,100,6,0.0
pc7,0.03181372227147217,0.025732806734740685,0.006080915536731481,0.005446719461586325,0.006668228252790872,0.0,2.8378176081678395,100,100,7,0.0
pc7,0.029969156682491258,0.023812715411186174,0.006156441271305085,0.005383717056363827,0.006861765739507971,0.0,2.1504386734515433,100,100,8,0.0
pc7,0.027234939150512175,0.02490250978618856,0.002332429364323617,0.0011803549053147507,0.0035127663118764757,0.002,0.5745503980753666,100,100,9,0.002
pc7,0.029080468714237168,0.022934488793835,0.006145979920402167,0.004665988166816542,0.007531481224577872,0.0,1.1446480029938997,100,100,10,0.0
pc7,0.006716335304081393,0.020902348663657856,-0.014186013359576463,-0.014798447621869857,-0.013512237691436902,0.0,-5.890761854213409,100,100,11,0.0
pc8,0.01101997053250666,0.01863357359543438,-0.007613603062927719,-0.007661515358369788,-0.0075663792039267755,0.0,-45.13485246487501,100,100,0,0.0
pc8,0.012860837411135388,0.0155968283489346,-0.002735990937799212,-0.002838785176165402,-0.0026306665458250772,0.0,-7.06116977302362,100,100,1,0.0
pc8,0.01258503431454296,0.015938052646815727,-0.0033530183322727676,-0.0034363316013477662,-0.003271818556822837,0.0,-11.678910437973451,100,100,2,0.0
pc8,0.016128599354997237,0.01809341901913281,-0.0019648196641355725,-0.002394439861644058,-0.0015098446267656955,0.0,-1.1979732988515444,100,100,3,0.0
pc8,0.01633891906589265,0.016882660295814228,-0.0005437412299215787,-0.0006385053708218069,-0.0004515138454735306,0.0,-1.5647675416711995,100,100,4,0.0
pc8,0.017361874496564223,0.018508714968338565,-0.0011468404717743415,-0.0017741133179515589,-0.0005335080930963133,0.0,-0.4984867244533875,100,100,5,0.0
pc8,0.017205081088468382,0.018501545116305307,-0.0012964640278369244,-0.00164950688951649,-0.0009459139707032615,0.0,-1.0353090874855289,100,100,6,0.0
pc8,0.018011181559413628,0.01872210253030057,-0.0007109209708869441,-0.0012686242831405296,-0.00015550200734287277,0.008,-0.35588520777135296,100,100,7,0.008
