layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
3,81,0.2374320775270462,0.21301835775375366,0.14172403514385223,0.10185376554727554,0.10008733719587326,0.06491587311029434,0.03563694655895233,0.015406304970383644,0.012269536964595318,0.008673603646457195,6,8,14,sentence.7
4,81,0.24147869646549225,0.1888122707605362,0.14143148064613342,0.10994383692741394,0.10457180440425873,0.06916319578886032,0.03526199236512184,0.01616196520626545,0.009808367118239403,0.007958927191793919,6,8,16,sentence.7
5,81,0.24448631703853607,0.18284721672534943,0.15168267488479614,0.10965385288000107,0.0992233082652092,0.0629144161939621,0.03022892400622368,0.014857511036098003,0.010159564204514027,0.009120030328631401,6,9,18,sentence.7
6,81,0.24427500367164612,0.18139421939849854,0.1400156021118164,0.10892399400472641,0.0966930016875267,0.06022137030959129,0.032388586550951004,0.015621710568666458,0.014043115079402924,0.009342072531580925,7,10,20,sentence.7
7,81,0.23534119129180908,0.18104690313339233,0.12378017604351044,0.11493922024965286,0.10592609643936157,0.056475818157196045,0.03142575919628143,0.016979124397039413,0.013196470215916634,0.01101445872336626,8,12,23,sentence.7
8,81,0.2530352771282196,0.1761143058538437,0.12562265992164612,0.11443506181240082,0.09414181858301163,0.04906181991100311,0.029584793373942375,0.01567097380757332,0.013661258853971958,0.010185787454247475,8,13,23,sentence.7
9,81,0.30797210335731506,0.1556088775396347,0.11036225408315659,0.10526380687952042,0.08091210573911667,0.042194612324237823,0.026815127581357956,0.019179118797183037,0.01690845377743244,0.011270450428128242,9,13,23,sentence.7
10,81,0.2693708539009094,0.15396727621555328,0.11934048682451248,0.09878037869930267,0.07436972111463547,0.055329564958810806,0.028185877948999405,0.020938696339726448,0.01878020353615284,0.01325466949492693,10,15,26,sentence.7
11,81,0.839695394039154,0.03355899080634117,0.025065843015909195,0.021201862022280693,0.01601584255695343,0.010260152630507946,0.006271467078477144,0.004822520073503256,0.0037774781230837107,0.0032029266003519297,2,4,7,sentence.7
0,81,0.2397199124097824,0.20769193768501282,0.169722780585289,0.13159015774726868,0.10397010296583176,0.07054734230041504,0.03726198524236679,0.010888584889471531,0.00731804920360446,0.0027090783696621656,5,6,7,sentence.8
1,81,0.28290173411369324,0.19525039196014404,0.15025809407234192,0.11956556886434555,0.09047569334506989,0.06513454020023346,0.03420865163207054,0.012594575062394142,0.0069091045297682285,0.004978129640221596,6,6,8,sentence.8
2,81,0.2508259117603302,0.21249502897262573,0.14317920804023743,0.11229053139686584,0.1009148433804512,0.06391628831624985,0.03397990018129349,0.012468273751437664,0.007513942196965218,0.0066367993131279945,6,7,12,sentence.8
3,81,0.23630401492118835,0.21493519842624664,0.1404036581516266,0.10237987339496613,0.09954336285591125,0.06374967843294144,0.035313040018081665,0.015384739264845848,0.012150817550718784,0.008923770859837532,6,8,15,sentence.8
4,81,0.24285902082920074,0.18940846621990204,0.13978326320648193,0.11029070615768433,0.10415147244930267,0.06795594841241837,0.03497738018631935,0.01607067510485649,0.009395573288202286,0.007795790676027536,6,8,16,sentence.8
5,81,0.23743519186973572,0.1849064826965332,0.15176622569561005,0.109796442091465,0.09861063212156296,0.06092038378119469,0.029460662975907326,0.016834646463394165,0.012731538154184818,0.00932791456580162,7,9,18,sentence.8
6,81,0.2386954128742218,0.18408533930778503,0.13818097114562988,0.10913421213626862,0.09860497713088989,0.05930402874946594,0.0325482003390789,0.01633196696639061,0.013856379315257072,0.009997274726629257,7,10,20,sentence.8
7,81,0.23025937378406525,0.18288543820381165,0.12111245840787888,0.11583196371793747,0.10851935297250748,0.055952370166778564,0.030843373388051987,0.01724187284708023,0.013378683477640152,0.01129709929227829,8,12,23,sentence.8
8,81,0.249395489692688,0.17721867561340332,0.12413626909255981,0.11491410434246063,0.09831023961305618,0.04853587970137596,0.028882550075650215,0.01589284837245941,0.013570260256528854,0.010981428436934948,8,13,23,sentence.8
9,81,0.29301172494888306,0.16159851849079132,0.11075326800346375,0.10847524553537369,0.0868181511759758,0.04209207743406296,0.025233928114175797,0.018653031438589096,0.017179379239678383,0.011847998946905136,9,13,23,sentence.8
10,81,0.25997644662857056,0.15806519985198975,0.1262221783399582,0.09625394642353058,0.07936520874500275,0.05409689247608185,0.02586681768298149,0.021253764629364014,0.01869218237698078,0.014571473002433777,10,15,26,sentence.8
11,81,0.828545868396759,0.037040743976831436,0.026631265878677368,0.02202523685991764,0.017962204292416573,0.010507171042263508,0.00620479229837656,0.005150886718183756,0.0038189804181456566,0.003652914660051465,2,4,8,sentence.8
0,81,0.23970812559127808,0.20753277838230133,0.1699802428483963,0.13152801990509033,0.10373016446828842,0.07045204937458038,0.03739530220627785,0.010850704275071621,0.007291204296052456,0.0028011156246066093,5,6,7,sentence.9
1,81,0.28004252910614014,0.19432856142520905,0.15061572194099426,0.11983519792556763,0.08994283527135849,0.06499776244163513,0.03450904041528702,0.012605242431163788,0.006978390738368034,0.004984991159290075,6,7,9,sentence.9
2,81,0.249104306101799,0.2123420387506485,0.14280492067337036,0.1123601421713829,0.10025051236152649,0.06410784274339676,0.03383161500096321,0.012391354888677597,0.00743071036413312,0.0065042441710829735,6,7,12,sentence.9
3,81,0.23653480410575867,0.21322183310985565,0.13995087146759033,0.10208126157522202,0.09939679503440857,0.06397385895252228,0.03520955890417099,0.015230964869260788,0.011626559309661388,0.009020042605698109,6,8,15,sentence.9
4,81,0.24308647215366364,0.18783482909202576,0.1391044408082962,0.1099824607372284,0.1038474515080452,0.06765851378440857,0.03489113226532936,0.016063377261161804,0.009216898120939732,0.00779664097353816,6,8,17,sentence.9
5,81,0.23922091722488403,0.18391266465187073,0.14985989034175873,0.10912253707647324,0.0981600433588028,0.060535479336977005,0.02943471074104309,0.01675339974462986,0.012105566449463367,0.009263916872441769,7,10,19,sentence.9
6,81,0.24021907150745392,0.18187804520130157,0.13613808155059814,0.10979804396629333,0.09808661043643951,0.058592744171619415,0.03301165997982025,0.01612977311015129,0.013762577436864376,0.00959375686943531,7,11,21,sentence.9
7,81,0.23185406625270844,0.18138077855110168,0.11978455632925034,0.11605952680110931,0.10695071518421173,0.05641189590096474,0.030556851997971535,0.017164675518870354,0.01372554711997509,0.01109455805271864,8,12,23,sentence.9
8,81,0.25141727924346924,0.1758759468793869,0.12415169924497604,0.11445966362953186,0.09581013768911362,0.04852484166622162,0.02850833162665367,0.01603967882692814,0.013824118301272392,0.010270978324115276,8,13,24,sentence.9
9,81,0.30750027298927307,0.15768153965473175,0.1092831939458847,0.10362603515386581,0.08374034613370895,0.04103424400091171,0.02543824538588524,0.018587259575724602,0.017309505492448807,0.011497817002236843,9,13,23,sentence.9
10,81,0.26914680004119873,0.15544787049293518,0.12093641608953476,0.09628758579492569,0.07780775427818298,0.05403166264295578,0.026659412309527397,0.021151075139641762,0.017815420404076576,0.014567899517714977,10,15,26,sentence.9
11,81,0.8399262428283691,0.03401869535446167,0.024998385459184647,0.020667148754000664,0.016637105494737625,0.00993505772203207,0.005763376597315073,0.004996863659471273,0.0035832219291478395,0.0034568337723612785,2,4,7,sentence.9
