layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
11,81,0.7408782839775085,0.051264870911836624,0.04469858482480049,0.03593862056732178,0.02304520085453987,0.01912427879869938,0.015165070071816444,0.009620466269552708,0.005839544348418713,0.004678153432905674,4,6,10,sentence.1
0,81,0.21930977702140808,0.18928192555904388,0.16366639733314514,0.1215951144695282,0.10734707862138748,0.09010172635316849,0.054510921239852905,0.022458747029304504,0.008581099100410938,0.004552918951958418,6,7,8,sentence.10
1,81,0.2535476088523865,0.179212287068367,0.1566774547100067,0.1093786209821701,0.09665238112211227,0.08090289682149887,0.04861752688884735,0.01995171420276165,0.009976664558053017,0.006635751575231552,6,7,9,sentence.10
2,81,0.21020731329917908,0.18734955787658691,0.1770409345626831,0.11133348941802979,0.09589337557554245,0.07970401644706726,0.05176582932472229,0.019993139430880547,0.00830923207104206,0.006512502674013376,6,7,11,sentence.10
3,81,0.20479632914066315,0.18414141237735748,0.16562394797801971,0.11490099132061005,0.09187217801809311,0.07498657703399658,0.05201880633831024,0.021623166278004646,0.016095245257019997,0.006846667733043432,7,8,14,sentence.10
4,81,0.21334050595760345,0.18218114972114563,0.15553055703639984,0.1295129805803299,0.08790350705385208,0.0744355097413063,0.05368395894765854,0.02033679187297821,0.010349605232477188,0.006918609607964754,7,8,14,sentence.10
5,81,0.2171425074338913,0.19790180027484894,0.14121361076831818,0.13202349841594696,0.08467868715524673,0.06545781344175339,0.05246461182832718,0.021338650956749916,0.01008120458573103,0.006645414978265762,7,8,15,sentence.10
6,81,0.23431766033172607,0.19230836629867554,0.13960090279579163,0.12208686023950577,0.08108843117952347,0.06249067187309265,0.050182558596134186,0.02203444391489029,0.008830650709569454,0.007602544967085123,7,8,16,sentence.10
7,81,0.24140729010105133,0.1739886999130249,0.138331800699234,0.12528491020202637,0.07746414095163345,0.060530491173267365,0.05384710803627968,0.02677759900689125,0.009524849243462086,0.008339391089975834,7,9,17,sentence.10
8,81,0.2304050475358963,0.18065865337848663,0.16019375622272491,0.10680282115936279,0.07162261754274368,0.061540387570858,0.04379665479063988,0.025663169100880623,0.012346861883997917,0.0095667764544487,7,10,19,sentence.10
9,81,0.24011068046092987,0.1743430495262146,0.1379161924123764,0.12145204842090607,0.06598907709121704,0.05476624146103859,0.04043632373213768,0.025645315647125244,0.014990168623626232,0.012333142571151257,8,12,21,sentence.10
10,81,0.260090708732605,0.19659538567066193,0.13248537480831146,0.10574319958686829,0.051231130957603455,0.04675977677106857,0.03909004479646683,0.03105231188237667,0.01663176715373993,0.011414224281907082,8,11,21,sentence.10
11,81,0.7416635751724243,0.051542017608881,0.04501175135374069,0.036052484065294266,0.023118246346712112,0.018932605162262917,0.01513510663062334,0.009659961797297001,0.005717059131711721,0.004659507889300585,4,6,10,sentence.10
0,81,0.21908415853977203,0.18892335891723633,0.1640440970659256,0.12171018123626709,0.10726246982812881,0.090059794485569,0.05439555272459984,0.022340869531035423,0.008083094842731953,0.004460321273654699,6,7,8,sentence.2
1,81,0.25582778453826904,0.17813627421855927,0.15646377205848694,0.10996431857347488,0.09620656073093414,0.0801306962966919,0.04836162552237511,0.019659873098134995,0.00940133910626173,0.006138271652162075,6,7,9,sentence.2
2,81,0.21213005483150482,0.18756848573684692,0.1747772991657257,0.11178189516067505,0.09553203731775284,0.07887578755617142,0.051698509603738785,0.01981450244784355,0.008518079295754433,0.006340249441564083,6,7,11,sentence.2
3,81,0.20429927110671997,0.1883580982685089,0.16351160407066345,0.11454126238822937,0.09130653738975525,0.07344082742929459,0.052177440375089645,0.021218761801719666,0.01633952371776104,0.007243175990879536,7,8,14,sentence.2
4,81,0.21203872561454773,0.18010076880455017,0.15718571841716766,0.13005006313323975,0.08816587179899216,0.07349827885627747,0.053650032728910446,0.020081687718629837,0.011115405708551407,0.006672297604382038,7,8,14,sentence.2
5,81,0.2168312519788742,0.1947052925825119,0.14270047843456268,0.13285426795482635,0.08565237373113632,0.06506960093975067,0.05217656493186951,0.02093852125108242,0.009594099596142769,0.007595341186970472,7,8,15,sentence.2
6,81,0.2379569411277771,0.18896767497062683,0.13957010209560394,0.12134411185979843,0.08178073912858963,0.06225646659731865,0.05014418810606003,0.02134152501821518,0.008568456396460533,0.008022393099963665,7,8,16,sentence.2
7,81,0.24298261106014252,0.17105762660503387,0.13940736651420593,0.12440494447946548,0.07817751169204712,0.06079533323645592,0.05339975282549858,0.025672849267721176,0.009927935898303986,0.008106499910354614,7,9,17,sentence.2
8,81,0.23660366237163544,0.17368382215499878,0.15983295440673828,0.10524924844503403,0.07198871672153473,0.061602819710969925,0.04437559098005295,0.02452889457345009,0.013266426511108875,0.010108544491231441,7,10,19,sentence.2
9,81,0.2526445686817169,0.17107267677783966,0.13245804607868195,0.11744072288274765,0.06603991985321045,0.05466672405600548,0.039802126586437225,0.024357091635465622,0.01596822962164879,0.011889292858541012,8,12,21,sentence.2
10,81,0.25500884652137756,0.1983771026134491,0.13626743853092194,0.10136781632900238,0.05025031790137291,0.04752954840660095,0.03776843473315239,0.0321895070374012,0.017666475847363472,0.012602965347468853,8,12,21,sentence.2
11,81,0.7542789578437805,0.04992212355136871,0.041676223278045654,0.03325200080871582,0.021819857880473137,0.018396854400634766,0.014576545916497707,0.008757968433201313,0.005864245817065239,0.004595271311700344,4,5,10,sentence.2
0,81,0.21988685429096222,0.18932165205478668,0.16373273730278015,0.12165874987840652,0.10724514722824097,0.09047918021678925,0.05460347607731819,0.022469060495495796,0.009144864976406097,0.003914998844265938,6,7,8,sentence.3
1,81,0.2537340223789215,0.1789446324110031,0.15762582421302795,0.10959724336862564,0.09610703587532043,0.08204857259988785,0.048387497663497925,0.019874485209584236,0.010471446439623833,0.006612914148718119,6,7,9,sentence.3
2,81,0.21035854518413544,0.18837970495224,0.1764582097530365,0.11201656609773636,0.09489350765943527,0.07975904643535614,0.05184744670987129,0.01989045739173889,0.009351830929517746,0.007103202864527702,6,7,10,sentence.3
3,81,0.20435674488544464,0.18648017942905426,0.16426540911197662,0.11550953984260559,0.09044257551431656,0.0739097148180008,0.052337709814310074,0.021326927468180656,0.01842390187084675,0.007192657794803381,7,8,13,sentence.3
4,81,0.21241700649261475,0.1812921017408371,0.15579316020011902,0.1304977685213089,0.08690369874238968,0.07412531971931458,0.05373169481754303,0.020296406000852585,0.012074578553438187,0.007320280186831951,7,8,13,sentence.3
5,81,0.2176063060760498,0.1952763944864273,0.14248548448085785,0.13196077942848206,0.08395353704690933,0.06510845571756363,0.05275195091962814,0.021391626447439194,0.010285727679729462,0.00758390361443162,7,8,14,sentence.3
6,81,0.23197384178638458,0.19240236282348633,0.14148566126823425,0.1217368096113205,0.08098666369915009,0.06244659051299095,0.050724323838949203,0.022043323144316673,0.009464586153626442,0.007562410086393356,7,8,16,sentence.3
7,81,0.24042104184627533,0.17480894923210144,0.13916943967342377,0.12392141669988632,0.07743970304727554,0.06054593250155449,0.05316934362053871,0.026520121842622757,0.01059323363006115,0.008550053462386131,7,9,17,sentence.3
8,81,0.23396268486976624,0.17628425359725952,0.1615336537361145,0.10470131784677505,0.07079466432332993,0.06111312657594681,0.04376338794827461,0.02562393993139267,0.013979492709040642,0.010047935880720615,7,10,19,sentence.3
