,layer,level_from,level_to,G,left_out
263,5,3,4,0.9514979985025194,sentence.2
264,5,4,5,0.9585968918270535,sentence.2
265,5,5,6,0.9412780337863498,sentence.2
266,5,6,7,0.9483939905961355,sentence.2
267,5,7,8,0.9445928186178207,sentence.2
268,5,8,9,0.9329342991113663,sentence.2
269,5,9,10,0.9398768477969699,sentence.2
270,6,1,2,0.911560187737147,sentence.2
271,6,2,3,0.9432611614465714,sentence.2
272,6,3,4,0.9491651041640176,sentence.2
273,6,4,5,0.9488335616058774,sentence.2
274,6,5,6,0.9266975207461251,sentence.2
275,6,6,7,0.9401210298140844,sentence.2
276,6,7,8,0.9359640926122665,sentence.2
277,6,8,9,0.9239541507429547,sentence.2
278,6,9,10,0.9297177957163917,sentence.2
279,7,1,2,0.9001038753324084,sentence.2
280,7,2,3,0.9248333093192842,sentence.2
281,7,3,4,0.9339325229326884,sentence.2
282,7,4,5,0.9335975497961044,sentence.2
283,7,5,6,0.913935543762313,sentence.2
284,7,6,7,0.9292001873254776,sentence.2
285,7,7,8,0.9266359756390253,sentence.2
286,7,8,9,0.9073548416296641,sentence.2
287,7,9,10,0.9210108369588852,sentence.2
288,8,1,2,0.8847018529971441,sentence.2
289,8,2,3,0.9021019554800458,sentence.2
290,8,3,4,0.918883525662952,sentence.2
291,8,4,5,0.9107446389065849,sentence.2
292,8,5,6,0.8960697849591573,sentence.2
293,8,6,7,0.910287919971678,sentence.2
294,8,7,8,0.9063151760233773,sentence.2
295,8,8,9,0.8885450214147568,sentence.2
296,8,9,10,0.9036242746644549,sentence.2
297,9,1,2,0.8536293390724394,sentence.2
298,9,2,3,0.8732089234722985,sentence.2
299,9,3,4,0.901674340168635,sentence.2
300,9,4,5,0.8890676812993156,sentence.2
301,9,5,6,0.874385631746716,sentence.2
302,9,6,7,0.8923220054970847,sentence.2
303,9,7,8,0.8856187164783478,sentence.2
304,9,8,9,0.8684557361735238,sentence.2
305,9,9,10,0.8815111650360955,sentence.2
306,10,1,2,0.8198885437515047,sentence.2
307,10,2,3,0.8312389502922694,sentence.2
308,10,3,4,0.8657553195953369,sentence.2
309,10,4,5,0.8582405381732516,sentence.2
310,10,5,6,0.8458509643872579,sentence.2
311,10,6,7,0.8653688646025128,sentence.2
312,10,7,8,0.8519921981626086,sentence.2
313,10,8,9,0.8394077122211456,sentence.2
314,10,9,10,0.8520541969272826,sentence.2
315,11,1,2,0.7829039262400733,sentence.2
316,11,2,3,0.7753954397307502,sentence.2
317,11,3,4,0.8192469593551424,sentence.2
318,11,4,5,0.8005068070358701,sentence.2
319,11,5,6,0.803949750132031,sentence.2
320,11,6,7,0.846344456076622,sentence.2
321,11,7,8,0.7906327247619629,sentence.2
322,11,8,9,0.7968681636783812,sentence.2
323,11,9,10,0.7899444301923116,sentence.2
324,0,1,2,0.9866100168890424,sentence.3
325,0,2,3,0.9889770497878393,sentence.3
326,0,3,4,0.9901249524619844,sentence.3
327,0,4,5,0.9892200297779508,sentence.3
328,0,5,6,0.9860884298880895,sentence.3
