layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k80,k85,k90,k95,k99,boot_id
2,90,0.2599560618400574,0.22026090323925018,0.18151476979255676,0.11193814128637314,0.08912992477416992,0.06223825737833977,0.030787695199251175,0.018492354080080986,0.004046380985528231,0.003599080489948392,5,5,6,7,15,4
3,90,0.2551726698875427,0.21077312529087067,0.1807125061750412,0.11498229950666428,0.08931242674589157,0.06551685184240341,0.030123218894004822,0.01812819018959999,0.005593177862465382,0.004441018681973219,5,5,6,8,20,4
4,90,0.265982061624527,0.21417765319347382,0.1683683544397354,0.11118651926517487,0.08376099169254303,0.06557553261518478,0.030401816591620445,0.017284108325839043,0.00648763170465827,0.005568380001932383,5,6,6,8,22,4
5,90,0.2654004395008087,0.22199468314647675,0.1644427478313446,0.1089329794049263,0.08530303835868835,0.062207866460084915,0.026572469621896744,0.016786234453320503,0.006885136943310499,0.005726849194616079,5,6,6,8,23,4
6,90,0.26762375235557556,0.22168777883052826,0.16686731576919556,0.10693663358688354,0.08499176800251007,0.05911201983690262,0.023917149752378464,0.015770671889185905,0.0070381429977715015,0.005650069564580917,5,6,6,9,24,4
7,90,0.2704136371612549,0.2035786360502243,0.17240898311138153,0.11217720061540604,0.08306388556957245,0.0573103092610836,0.02464364282786846,0.014988034032285213,0.00831120926886797,0.0067702229134738445,5,6,7,10,26,4
8,90,0.27859872579574585,0.19627802073955536,0.17517533898353577,0.10560967773199081,0.08381693065166473,0.05382290109992027,0.02354595810174942,0.014373833313584328,0.009009410627186298,0.007849937304854393,5,6,7,11,27,4
9,90,0.3035639226436615,0.18115626275539398,0.16462436318397522,0.09691101312637329,0.08506489545106888,0.05230129882693291,0.02394249476492405,0.014769149012863636,0.010719397105276585,0.009052323177456856,5,6,7,12,28,4
10,90,0.3731711804866791,0.15755409002304077,0.14392809569835663,0.09171934425830841,0.07324603945016861,0.04395691677927971,0.020724454894661903,0.014026480726897717,0.011488454416394234,0.009230091236531734,5,6,7,12,28,4
11,90,0.46305716037750244,0.1397610455751419,0.10886530578136444,0.07501783967018127,0.06711257249116898,0.035456251353025436,0.02226930856704712,0.01243282575160265,0.009563651867210865,0.008099855855107307,5,5,7,12,27,4
0,90,0.2655690312385559,0.21736688911914825,0.1899070292711258,0.11945034563541412,0.08970359712839127,0.06000090390443802,0.03027099184691906,0.019200649112462997,0.001176191377453506,0.0008486375445500016,5,5,6,7,8,5
1,90,0.2571270763874054,0.22316227853298187,0.18868017196655273,0.12200140208005905,0.0894559696316719,0.05895514413714409,0.03163741156458855,0.018788011744618416,0.0014635013649240136,0.001253217924386263,5,5,6,7,9,5
2,90,0.25849196314811707,0.2253452092409134,0.1820143163204193,0.1140020415186882,0.08999447524547577,0.0621236227452755,0.0314454659819603,0.018318062648177147,0.0027023935690522194,0.002405353356152773,5,5,6,7,13,5
3,90,0.25527721643447876,0.21694602072238922,0.17868530750274658,0.11592809855937958,0.09090250730514526,0.06626791507005692,0.031246980652213097,0.018124058842658997,0.003930574748665094,0.0028740691486746073,5,5,6,7,17,5
4,90,0.26434263586997986,0.22020629048347473,0.16661114990711212,0.11232394725084305,0.08586487174034119,0.06515053659677505,0.03176971152424812,0.01724107377231121,0.005071826279163361,0.00437697721645236,5,6,6,8,21,5
5,90,0.26301634311676025,0.22780010104179382,0.16292862594127655,0.11056602746248245,0.08713433891534805,0.06351316720247269,0.02780928835272789,0.01668570190668106,0.005096033215522766,0.0045512039214372635,5,5,6,8,22,5
6,90,0.2661907970905304,0.22386391460895538,0.16558049619197845,0.10753464698791504,0.08673588186502457,0.060266222804784775,0.02521364763379097,0.015462140552699566,0.005958139896392822,0.005091866943985224,5,6,6,8,24,5
7,90,0.2628246247768402,0.20840904116630554,0.17041441798210144,0.11069291085004807,0.0849355012178421,0.05974866822361946,0.025971144437789917,0.0148939723148942,0.008808660320937634,0.005845227278769016,5,6,7,10,27,5
