metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer
pc3,0.13099839121103282,0.17135505348443986,-0.040356662273407035,-0.04100614788010719,-0.03974142291769387,0.0,-17.465161413919116,100,100,7
pc3,0.12671949781477448,0.17182530522346495,-0.04510580740869047,-0.04579671046510341,-0.04442841035127641,0.0,-18.806137800155604,100,100,8
pc3,0.12399837382137772,0.1622826217114925,-0.03828424789011477,-0.03882315369136631,-0.03772589956969024,0.0,-18.494971534972503,100,100,9
pc3,0.1211696598678827,0.15001649782061574,-0.028846837952733045,-0.02963386360369623,-0.02798366324231027,0.0,-9.96160247967259,100,100,10
pc3,0.11197520531713959,0.12190763197839256,-0.009932426661252977,-0.011412805667147035,-0.008489335829392066,0.0,-1.8825962978666697,100,100,11
pc4,0.11909971714019772,0.11981314182281491,-0.0007134246826171892,-0.0008861044924706265,-0.0005600695591419936,0.0,-1.2711600036502664,100,100,0
pc4,0.11871759392321106,0.12190818682312962,-0.0031905928999185623,-0.003319778807461261,-0.003055097209289678,0.0,-6.422683916755562,100,100,1
pc4,0.1121747431159019,0.11376474641263482,-0.0015900032967329086,-0.001792104575783006,-0.001397129159420727,0.0,-2.282453739917097,100,100,2
pc4,0.1123964916169643,0.11568988300859924,-0.0032933913916349394,-0.00356074665300547,-0.0030152018126100247,0.0,-3.3148401780437977,100,100,3
pc4,0.11635189257562156,0.1116028708964586,0.004749021679162968,0.004395001867786042,0.005087821796536433,0.0,3.7777896605552734,100,100,4
pc4,0.11326569028198716,0.10964590616524215,0.0036197841167450034,0.003239221362397069,0.0040227586124092305,0.0,2.5206504771962317,100,100,5
pc4,0.11062278836965557,0.10654069110751148,0.004082097262144091,0.003593372596427809,0.0045576047804206515,0.0,2.33030199524935,100,100,6
pc4,0.10784584455192085,0.11079769231379029,-0.002951847761869436,-0.0035417359042912732,-0.0023543648552149616,0.0,-1.3985042618721932,100,100,7
pc4,0.1085993660241365,0.10621414758265015,0.002385218441486356,0.0017055757325142573,0.003031481580808747,0.0,0.9490838342878505,100,100,8
pc4,0.10254328630864616,0.09811800502240654,0.0044252812862396185,0.0036296921316534203,0.005179742285981778,0.0,1.577341324490256,100,100,9
pc4,0.09480904102325435,0.09309897579252717,0.001710065230727184,0.000962579295039177,0.00241568426974118,0.0,0.6419762505878207,100,100,10
pc4,0.08152600251138206,0.07453861676156517,0.006987385749816888,0.00575716295652093,0.008190507369115974,0.0,1.5483097124257383,100,100,11
pc5,0.08189251691102978,0.08988111145794388,-0.007988594546914099,-0.008077504307031634,-0.007907089617103333,0.0,-25.47481710233247,100,100,0
pc5,0.07279577091336246,0.08945758275687692,-0.01666181184351445,-0.016784407922998065,-0.01653892768360674,0.0,-39.37033242794593,100,100,1
pc5,0.06420683860778804,0.08986336931586263,-0.025656530708074582,-0.02580436022393405,-0.025526367504149678,0.0,-47.4644243430119,100,100,2
pc5,0.06383941188454623,0.09080792777240272,-0.026968515887856495,-0.027167322954162982,-0.026778016500175014,0.0,-37.41359958644184,100,100,3
pc5,0.06344180151820178,0.08518373511731621,-0.02174193359911443,-0.021984253492206354,-0.021494423416443184,0.0,-23.85963188810834,100,100,4
pc5,0.06332075938582417,0.0862702981382608,-0.022949538752436632,-0.023220218805596236,-0.02268007230386138,0.0,-23.249936787507597,100,100,5
pc5,0.06353336833417413,0.08587782107293598,-0.022344452738761858,-0.02259114442300051,-0.02209485360793771,0.0,-25.380081422357776,100,100,6
pc5,0.06348615817725654,0.08387533567845817,-0.02038917750120163,-0.02067110350541771,-0.02009011322632433,0.0,-18.901483104087134,100,100,7
pc5,0.06371484961360689,0.08492328383028504,-0.021208434216678146,-0.02155385887250303,-0.020871900248341273,0.0,-16.424226103634698,100,100,8
pc5,0.06154947116971011,0.08645440563559528,-0.024904934465885174,-0.02528651700634512,-0.024548587197437896,0.0,-18.212903612258895,100,100,9
