metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer,level_from,level_to
G,0.9819734814185945,0.9779899075144814,0.00398357390411308,0.0031125841507717105,0.004812017855201974,0.0,1.3777828736559028,100,100,2,4,5
G,0.9754177495922361,0.9790079661546245,-0.0035902165623883375,-0.004417471608815041,-0.002756759739832615,0.0,-1.2428265557744707,100,100,2,5,6
G,0.9735893940561346,0.9769177900131732,-0.003328395957038599,-0.00432906599151259,-0.002410211734461937,0.0,-0.9519332353228027,100,100,2,6,7
G,0.97689972529856,0.9785936043191523,-0.0016938790205923704,-0.0025212592389021126,-0.0009051320418362153,0.0,-0.5636285280311787,100,100,2,7,8
G,0.9652227572434477,0.978637531202464,-0.013414773959016246,-0.014350601363666901,-0.012465200371306957,0.0,-3.972974480465551,100,100,2,8,9
G,0.971849425236384,0.9757361721732315,-0.0038867469368475405,-0.004862206240967723,-0.0028984589356751108,0.0,-1.068328569447109,100,100,2,9,10
G,0.9358713397137705,0.9571416293297494,-0.021270289615978988,-0.02336349743806895,-0.018933044044779652,0.0,-2.6268666750488037,100,100,3,1,2
G,0.963659173407725,0.964509350846211,-0.0008501774384860328,-0.0021740778959576518,0.0005523282421842911,0.25,-0.16642034523225852,100,100,3,2,3
G,0.9589366977058709,0.9644214470793332,-0.005484749373462328,-0.0074819183169728964,-0.003583552568559554,0.0,-0.7484389848801306,100,100,3,3,4
G,0.9669437675140206,0.9701436790629985,-0.0031999115489779184,-0.004607412505729325,-0.0017992322412865443,0.0,-0.6526289255516552,100,100,3,4,5
G,0.9536488558441873,0.9665826413281381,-0.012933785483950744,-0.014280509460114282,-0.011508965437729102,0.0,-2.5614943190735295,100,100,3,5,6
G,0.9580946843056453,0.96312793039566,-0.005033246090014765,-0.006446865869478999,-0.003548969307341088,0.0,-0.9898487061842219,100,100,3,6,7
G,0.9607171644190001,0.965372988989902,-0.004655824570901856,-0.0060996404507214445,-0.0032102860957027805,0.0,-0.9075075485278148,100,100,3,7,8
G,0.9496541959553482,0.9679423263687936,-0.018288130413445458,-0.019732351460816443,-0.016953133716292534,0.0,-3.6283485583096127,100,100,3,8,9
G,0.9575030294656754,0.9618650223835121,-0.004361992917836677,-0.0058489169783065426,-0.0028015193975516966,0.0,-0.7795418950667591,100,100,3,9,10
