layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k80,k85,k90,k95,k99,boot_id
8,90,0.2711615264415741,0.22339729964733124,0.1310238391160965,0.10370438545942307,0.0634535625576973,0.05637555196881294,0.04053032025694847,0.0259766336530447,0.01136788260191679,0.008547247387468815,6,7,8,13,30,5
9,90,0.2681715786457062,0.2191363424062729,0.12689708173274994,0.09876154363155365,0.062394414097070694,0.05677394941449165,0.03980221226811409,0.024180272594094276,0.01481920201331377,0.01131046749651432,6,7,9,15,32,5
10,90,0.2645585536956787,0.2073366940021515,0.12137627601623535,0.09126198291778564,0.0696740671992302,0.05132343992590904,0.03900722786784172,0.02406775951385498,0.018974551931023598,0.015509706921875477,6,8,10,17,33,5
11,90,0.29026851058006287,0.17703112959861755,0.10873913764953613,0.08298871666193008,0.06556432694196701,0.04558946564793587,0.041319895535707474,0.03420219570398331,0.02661808580160141,0.020287636667490005,7,9,11,17,33,5
0,90,0.3208928108215332,0.18778479099273682,0.13986675441265106,0.11904418468475342,0.08244043588638306,0.068110890686512,0.04064984619617462,0.033727988600730896,0.0011349881533533335,0.000871004129294306,5,5,6,7,8,6
1,90,0.36276519298553467,0.18439966440200806,0.12957049906253815,0.11822063475847244,0.07334382832050323,0.05749395117163658,0.03618641197681427,0.030125712975859642,0.0011610288638621569,0.0008264186908490956,5,5,6,7,8,6
2,90,0.37429481744766235,0.19034336507320404,0.12727917730808258,0.11171026527881622,0.06467040628194809,0.051874224096536636,0.03370733559131622,0.03117370419204235,0.0019565417896956205,0.0013943191152065992,4,5,6,7,12,6
3,90,0.3505014181137085,0.20241446793079376,0.12658433616161346,0.11329890787601471,0.06411613523960114,0.05248929187655449,0.033978983759880066,0.03151208534836769,0.0032276350539177656,0.0026711763348430395,5,5,6,8,17,6
4,90,0.3296518325805664,0.20631131529808044,0.12927371263504028,0.11834924668073654,0.06290261447429657,0.05341087281703949,0.03480686619877815,0.032955799251794815,0.0034865401685237885,0.0030030766502022743,5,6,7,8,20,6
5,90,0.3259463906288147,0.2118287831544876,0.1275503933429718,0.11444219201803207,0.062413290143013,0.05294759199023247,0.037991758435964584,0.030181605368852615,0.00423135980963707,0.0032478480134159327,5,6,7,8,21,6
6,90,0.32518255710601807,0.21305423974990845,0.12581002712249756,0.11222779750823975,0.06292343139648438,0.049912068992853165,0.03929796814918518,0.02934729866683483,0.00550079345703125,0.0032523167319595814,5,6,7,8,23,6
7,90,0.30857762694358826,0.22125662863254547,0.12942640483379364,0.11026285588741302,0.06309231370687485,0.048984821885824203,0.038871631026268005,0.027463272213935852,0.006082480773329735,0.004238698165863752,5,6,7,9,26,6
8,90,0.2845708429813385,0.22927050292491913,0.12431782484054565,0.11330719292163849,0.06297795474529266,0.05445754528045654,0.03971016779541969,0.026232177391648293,0.007663425989449024,0.005703973583877087,5,6,7,11,28,6
9,90,0.2873329818248749,0.22540627419948578,0.12161585688591003,0.10721676796674728,0.06121416389942169,0.054319724440574646,0.03917362913489342,0.02434544637799263,0.008919859305024147,0.008221058174967766,5,6,8,13,30,6
10,90,0.295132040977478,0.20817066729068756,0.11967103183269501,0.09766004979610443,0.06535336375236511,0.05020645633339882,0.0378965325653553,0.02342635951936245,0.013007575646042824,0.011078053154051304,6,7,9,15,32,6
11,90,0.37703967094421387,0.16660776734352112,0.1066679060459137,0.07847318053245544,0.05891900509595871,0.03872290626168251,0.031097428873181343,0.02917708456516266,0.017594164237380028,0.013243150897324085,6,7,9,15,31,6
0,90,0.3222600817680359,0.18636219203472137,0.1407899111509323,0.11911725252866745,0.08132974058389664,0.06799975037574768,0.04063659906387329,0.03398485854268074,0.000891591829713434,0.0007469295524060726,5,6,6,7,8,7
1,90,0.3630550801753998,0.18218371272087097,0.13048841059207916,0.11944564431905746,0.07273829728364944,0.057826779782772064,0.03637466952204704,0.030530914664268494,0.0009381868876516819,0.0007800119929015636,5,5,6,7,8,7
2,90,0.37591806054115295,0.18921184539794922,0.12825165688991547,0.11173239350318909,0.0642685741186142,0.051996588706970215,0.03384580463171005,0.03148234263062477,0.001831389614380896,0.0014651739038527012,4,5,6,7,10,7
3,90,0.35248512029647827,0.20186232030391693,0.12815120816230774,0.11366846412420273,0.06406980752944946,0.05260363221168518,0.03377525508403778,0.03154950216412544,0.003446436719968915,0.00240382831543684,5,5,6,8,16,7
4,90,0.328809916973114,0.2080889344215393,0.1316070258617401,0.11706197261810303,0.06421457976102829,0.05320967733860016,0.03498197719454765,0.03284933418035507,0.004124574363231659,0.0028229248709976673,5,6,6,8,20,7
5,90,0.3230946958065033,0.21220463514328003,0.13139258325099945,0.11318904906511307,0.06374750286340714,0.052652910351753235,0.0387454479932785,0.029906250536441803,0.005503898486495018,0.00281801400706172,5,6,7,8,22,7
6,90,0.3200009763240814,0.21197405457496643,0.1316932588815689,0.11036087572574615,0.06356211006641388,0.05013132840394974,0.04067287594079971,0.028900589793920517,0.0067257629707455635,0.003928910009562969,5,6,7,8,24,7
7,90,0.301808625459671,0.21896420419216156,0.13607127964496613,0.10730540007352829,0.06333054602146149,0.05006350949406624,0.03962629660964012,0.027416178956627846,0.008513483218848705,0.006699325982481241,5,6,7,9,27,7
8,90,0.27325907349586487,0.22655273973941803,0.13317838311195374,0.10816510766744614,0.06262999773025513,0.05630482733249664,0.039440322667360306,0.02671360969543457,0.0125341285020113,0.010213077999651432,5,6,8,11,29,7
9,90,0.26836222410202026,0.22354987263679504,0.12923285365104675,0.10378255695104599,0.06320657581090927,0.05545741319656372,0.03873879089951515,0.02534712851047516,0.01664997823536396,0.013955207541584969,6,7,8,12,31,7
10,90,0.26538389921188354,0.20953822135925293,0.12360236048698425,0.09557711333036423,0.07113300263881683,0.050697263330221176,0.03789766505360603,0.028310490772128105,0.02132653445005417,0.018638746812939644,6,7,9,14,33,7
11,90,0.2833596467971802,0.18368633091449738,0.11229302734136581,0.09029151499271393,0.06578318029642105,0.047594744712114334,0.04061664268374443,0.03399159386754036,0.02976178750395775,0.023136895149946213,7,8,10,15,33,7
0,90,0.31920260190963745,0.18824397027492523,0.13998548686504364,0.11989030241966248,0.08229051530361176,0.06876131147146225,0.040621403604745865,0.03402024134993553,0.0015207927208393812,0.0005837894277647138,5,6,6,7,8,8
1,90,0.3613811433315277,0.18371428549289703,0.12969304621219635,0.11891614645719528,0.07352965325117111,0.05824688822031021,0.03627057000994682,0.03056325390934944,0.0014920752728357911,0.0007921307114884257,5,5,6,7,8,8
2,90,0.37405216693878174,0.1876504123210907,0.1277661919593811,0.11103758215904236,0.06464312970638275,0.05243317037820816,0.03389030322432518,0.031368713825941086,0.0027851827908307314,0.0020179643761366606,4,5,6,7,12,8
3,90,0.34909167885780334,0.19930560886859894,0.12690788507461548,0.1110154539346695,0.06440526247024536,0.05275885760784149,0.03349890932440758,0.03128369152545929,0.005368820857256651,0.0038196854293346405,5,5,6,8,17,8
4,90,0.3287908732891083,0.20272409915924072,0.12906008958816528,0.11494288593530655,0.06353136897087097,0.053319454193115234,0.034567199647426605,0.03219900652766228,0.006190344225615263,0.0040778061375021935,5,6,7,8,20,8
5,90,0.32436659932136536,0.20527055859565735,0.127572163939476,0.1135224848985672,0.06379197537899017,0.05219558626413345,0.037518516182899475,0.02959432080388069,0.005953173618763685,0.005036689806729555,5,6,7,8,22,8
6,90,0.32261914014816284,0.20588935911655426,0.12724803388118744,0.10986151546239853,0.06409557908773422,0.04978683590888977,0.03933985158801079,0.02891623042523861,0.006395106669515371,0.005579669028520584,5,6,7,9,23,8
7,90,0.3027365207672119,0.213556170463562,0.13192975521087646,0.10742423683404922,0.06373097002506256,0.049187880009412766,0.038579218089580536,0.02738245762884617,0.008060216903686523,0.006632369942963123,5,6,7,11,25,8
8,90,0.27512437105178833,0.22052249312400818,0.12915730476379395,0.10968779772520065,0.06279683858156204,0.054791100323200226,0.039090901613235474,0.026526842266321182,0.010951051488518715,0.010251621715724468,6,6,8,12,27,8
9,90,0.27090296149253845,0.21779437363147736,0.12627924978733063,0.10695288330316544,0.06253250688314438,0.05412439629435539,0.03840098902583122,0.024720141664147377,0.01447478961199522,0.013305876404047012,6,7,8,14,28,8
10,90,0.2692403793334961,0.2047342211008072,0.12236510217189789,0.09878209978342056,0.06799732148647308,0.04930172860622406,0.03746161237359047,0.025677384808659554,0.02170342020690441,0.018465757369995117,6,8,10,15,29,8
11,90,0.29443612694740295,0.1794855147600174,0.11064678430557251,0.09162334352731705,0.06077607348561287,0.05166232958436012,0.03987924009561539,0.03160717338323593,0.025587765499949455,0.02313808910548687,7,8,10,15,29,8
