layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
9,90,0.29054558277130127,0.16347531974315643,0.12939459085464478,0.10385801643133163,0.0650809183716774,0.0640609860420227,0.029876600950956345,0.02264719270169735,0.016110070049762726,0.012302940711379051,8,11,18,3
10,90,0.3471745550632477,0.15231473743915558,0.14365708827972412,0.06867574900388718,0.06455056369304657,0.04832322522997856,0.02507719397544861,0.022761814296245575,0.015496171079576015,0.012961108237504959,8,10,18,3
11,90,0.747314453125,0.06084243953227997,0.03987577185034752,0.027788249775767326,0.023023592308163643,0.021541569381952286,0.015820616856217384,0.009446244686841965,0.006615206133574247,0.005260789301246405,4,6,9,3
0,90,0.2717139720916748,0.20644229650497437,0.15468083322048187,0.12519198656082153,0.0823373794555664,0.06069982424378395,0.03163747861981392,0.027729162946343422,0.017578857019543648,0.004597075749188662,6,6,8,4
1,90,0.2556597590446472,0.231115460395813,0.1461169719696045,0.114145927131176,0.07413860410451889,0.05650977045297623,0.02932577393949032,0.02552960067987442,0.01799801178276539,0.009593904949724674,6,7,9,4
2,90,0.30152279138565063,0.1709635704755783,0.15191888809204102,0.10724181681871414,0.07749408483505249,0.05272787809371948,0.031340211629867554,0.027579864487051964,0.01579834707081318,0.009846645407378674,6,8,11,4
3,90,0.3475910425186157,0.14608140289783478,0.14218755066394806,0.0930308923125267,0.06795122474431992,0.04591645300388336,0.03158215805888176,0.026096414774656296,0.024736100807785988,0.010954946279525757,7,8,12,4
4,90,0.32876333594322205,0.15798766911029816,0.1447732150554657,0.09387988597154617,0.07434043288230896,0.0503685399889946,0.0328119620680809,0.027486389502882957,0.016764746978878975,0.010102886706590652,6,8,12,4
5,90,0.35400667786598206,0.1531238853931427,0.13258157670497894,0.08763532340526581,0.06992463022470474,0.05401333421468735,0.027876777574419975,0.025647861883044243,0.014905079267919064,0.011835063807666302,6,8,13,4
6,90,0.3739570379257202,0.14884568750858307,0.12420356273651123,0.0951714739203453,0.058920618146657944,0.049187857657670975,0.02458302490413189,0.023286717012524605,0.013553359545767307,0.011115404777228832,6,9,14,4
7,90,0.3151257336139679,0.17035233974456787,0.1295274943113327,0.0910056084394455,0.06496468931436539,0.05184893310070038,0.028059937059879303,0.025434479117393494,0.015809237957000732,0.014688428491353989,7,10,16,4
8,90,0.29397472739219666,0.18542475998401642,0.12641385197639465,0.09648031741380692,0.05557718127965927,0.0514792837202549,0.02675844170153141,0.02309177629649639,0.018570564687252045,0.01653178781270981,8,11,17,4
9,90,0.2813469469547272,0.15623104572296143,0.1334116905927658,0.10294447839260101,0.057728782296180725,0.053260888904333115,0.03206304833292961,0.02489238604903221,0.021273503080010414,0.018610497936606407,9,12,19,4
10,90,0.3498149812221527,0.13906319439411163,0.12958313524723053,0.070834681391716,0.06268994510173798,0.04567180573940277,0.028079306706786156,0.0222182460129261,0.02011861838400364,0.016635077074170113,9,12,18,4
11,90,0.7154002785682678,0.06288674473762512,0.04526281729340553,0.029194775968790054,0.025477910414338112,0.021478038281202316,0.016256095841526985,0.011900903657078743,0.009359108284115791,0.0076861451379954815,4,7,11,4
0,90,0.27817294001579285,0.21053750813007355,0.15591682493686676,0.12499579787254333,0.0820644199848175,0.060615554451942444,0.03171396628022194,0.027744479477405548,0.012966463342308998,0.003572751535102725,5,6,8,5
1,90,0.26126977801322937,0.24293944239616394,0.1483975350856781,0.11366968601942062,0.07273925095796585,0.05572919920086861,0.029430560767650604,0.025428632274270058,0.012897981330752373,0.006980548147112131,6,7,9,5
2,90,0.3120857775211334,0.1754695326089859,0.15341079235076904,0.10853391140699387,0.07825925201177597,0.0527334064245224,0.03196628764271736,0.02741357870399952,0.011574684642255306,0.006926254834979773,6,7,9,5
3,90,0.3578343093395233,0.15078163146972656,0.1450226753950119,0.09444039314985275,0.06865158677101135,0.047125525772571564,0.03184003755450249,0.02423856593668461,0.017911214381456375,0.009718730114400387,6,8,11,5
4,90,0.3374883830547333,0.1592153012752533,0.15127046406269073,0.09550412744283676,0.07469801604747772,0.05063994601368904,0.03287900984287262,0.026623765006661415,0.011763707734644413,0.0065672374330461025,6,7,11,5
5,90,0.3548066318035126,0.15775670111179352,0.13816262781620026,0.09166122227907181,0.07177315652370453,0.054032132029533386,0.028415577486157417,0.025451967492699623,0.010215806774795055,0.007980694994330406,6,8,12,5
6,90,0.3645358383655548,0.15289214253425598,0.13167576491832733,0.09658010303974152,0.061306532472372055,0.04932591691613197,0.025423875078558922,0.023453420028090477,0.012913672253489494,0.008948526345193386,6,8,14,5
7,90,0.3158397674560547,0.17013660073280334,0.13441292941570282,0.09485341608524323,0.06580457836389542,0.05297286808490753,0.02697662077844143,0.025610966607928276,0.014333365485072136,0.011031313799321651,7,9,16,5
8,90,0.2892371416091919,0.1843727082014084,0.13627886772155762,0.09501923620700836,0.05959320068359375,0.05081630125641823,0.026150088757276535,0.022267082706093788,0.018465667963027954,0.014389517717063427,8,11,17,5
9,90,0.2899414896965027,0.15840917825698853,0.133583664894104,0.09731687605381012,0.060237787663936615,0.052907876670360565,0.02824407070875168,0.02250995859503746,0.02019631117582321,0.01823236048221588,9,12,19,5
10,90,0.36097559332847595,0.1361568570137024,0.11814989894628525,0.07111462205648422,0.06285331398248672,0.044497206807136536,0.03267296403646469,0.024715008214116096,0.01944478414952755,0.015267942100763321,8,12,18,5
