layer,level_from,level_to,G,boot_id
7,8,9,0.7968214352925619,0
7,9,10,0.7926829854647318,0
8,1,2,0.7765931174868629,0
8,2,3,0.8147839847065154,0
8,3,4,0.8247097446804955,0
8,4,5,0.8376248876253763,0
8,5,6,0.7909163662365505,0
8,6,7,0.7851567410287403,0
8,7,8,0.8201705898557391,0
8,8,9,0.7863236438660395,0
8,9,10,0.7682230359032041,0
9,1,2,0.7194360068866185,0
9,2,3,0.7936206147784278,0
9,3,4,0.7969884134474254,0
9,4,5,0.7459778076126462,0
9,5,6,0.7201164932478041,0
9,6,7,0.8005156602178302,0
9,7,8,0.7921468757447743,0
9,8,9,0.7555555701255798,0
9,9,10,0.6943030754725138,0
10,1,2,0.6605644382181621,0
10,2,3,0.7356909399940854,0
10,3,4,0.7597808951423282,0
10,4,5,0.6816418355419522,0
10,5,6,0.6717206793172019,0
10,6,7,0.8738751042456854,0
10,7,8,0.7912178749129886,0
10,8,9,0.7012022648538861,0
10,9,10,0.6547777411483583,0
11,1,2,0.7093225703352973,0
11,2,3,0.89793727795283,0
11,3,4,0.9065751887503124,0
11,4,5,0.5924698158743835,0
11,5,6,0.5713922743286405,0
11,6,7,0.9073830473990667,0
11,7,8,0.6119748318479175,0
11,8,9,0.865288067431677,0
11,9,10,0.5594657180564744,0
0,1,2,0.937735120455424,1
0,2,3,0.9673280914624532,1
0,3,4,0.9402948220570883,1
0,4,5,0.9412076075871786,1
0,5,6,0.9782285789648691,1
0,6,7,0.9787194828192393,1
0,7,8,0.9757704337437948,1
0,8,9,0.9856402774651846,1
0,9,10,0.9720827539761862,1
1,1,2,0.9401136438051859,1
1,2,3,0.9241793751716614,1
1,3,4,0.920743336280187,1
1,4,5,0.9197340806325277,1
1,5,6,0.9333994686603546,1
1,6,7,0.9427133599917094,1
1,7,8,0.9421524206797282,1
1,8,9,0.9392676452795664,1
1,9,10,0.9091574947039286,1
2,1,2,0.9218468368053436,1
2,2,3,0.9090633889039358,1
2,3,4,0.9130566815535227,1
2,4,5,0.9236622949441274,1
2,5,6,0.9152710139751434,1
2,6,7,0.9321892559528351,1
2,7,8,0.9331413606802622,1
2,8,9,0.9177960157394409,1
2,9,10,0.8845272858937582,1
3,1,2,0.8611627320448557,1
3,2,3,0.9110449055830637,1
3,3,4,0.8689936697483063,1
3,4,5,0.8962601522604624,1
3,5,6,0.909940262635549,1
3,6,7,0.9194096028804779,1
3,7,8,0.9299340943495432,1
3,8,9,0.8889515300591787,1
3,9,10,0.8633091251055399,1
4,1,2,0.8714051246643066,1
4,2,3,0.9164286156495413,1
4,3,4,0.8914889693260193,1
4,4,5,0.923008511463801,1
4,5,6,0.8980044523874918,1
4,6,7,0.9098127285639445,1
4,7,8,0.9237994452317556,1
4,8,9,0.8732193013032278,1
4,9,10,0.8743494351704916,1
5,1,2,0.8462304572264353,1
5,2,3,0.8993212282657623,1
5,3,4,0.8997540275255839,1
5,4,5,0.9211974342664083,1
5,5,6,0.8675081928571066,1
5,6,7,0.8921570082505544,1
5,7,8,0.9157943824927012,1
5,8,9,0.8529261847337087,1
5,9,10,0.8582243323326111,1
6,1,2,0.8273101349671682,1
6,2,3,0.8673295974731445,1
6,3,4,0.8981128036975861,1
6,4,5,0.9236774345239004,1
6,5,6,0.8581149379412333,1
6,6,7,0.8621717095375061,1
6,7,8,0.8943758110205332,1
6,8,9,0.8121268351872762,1
6,9,10,0.8287521998087565,1
7,1,2,0.8035728335380554,1
7,2,3,0.8485886653264364,1
7,3,4,0.8609661757946014,1
7,4,5,0.8978922764460245,1
7,5,6,0.834089607000351,1
7,6,7,0.8635988732179006,1
7,7,8,0.8791268765926361,1
7,8,9,0.8090832432111105,1
7,9,10,0.8216839830080668,1
8,1,2,0.7976836959520975,1
8,2,3,0.8316329717636108,1
8,3,4,0.8379300038019816,1
8,4,5,0.8848777115345001,1
8,5,6,0.8116884231567383,1
8,6,7,0.8092335164546967,1
8,7,8,0.8438142736752828,1
8,8,9,0.7929446697235107,1
8,9,10,0.7823740641276041,1
9,1,2,0.7414033015569051,1
9,2,3,0.7972147564093272,1
9,3,4,0.8211033046245575,1
9,4,5,0.8092503348986307,1
9,5,6,0.7679944733778635,1
9,6,7,0.8077483077843984,1
9,7,8,0.8198298712571462,1
9,8,9,0.7606105109055837,1
9,9,10,0.7024864852428436,1
10,1,2,0.6881062587102255,1
10,2,3,0.7164579729239146,1
10,3,4,0.7866553167502085,1
10,4,5,0.810014545917511,1
10,5,6,0.7117806176344553,1
10,6,7,0.8989367385705312,1
10,7,8,0.8193237682183584,1
10,8,9,0.7267848451932272,1
10,9,10,0.7390521963437399,1
11,1,2,0.7710280319054922,1
11,2,3,0.8889877299467722,1
11,3,4,0.9262021481990814,1
11,4,5,0.7734736700852712,1
11,5,6,0.6919240355491638,1
11,6,7,0.9135746955871582,1
11,7,8,0.6691412280003229,1
11,8,9,0.8691871464252472,1
11,9,10,0.712017556031545,1
0,1,2,0.9374203852244786,2
0,2,3,0.9748238353502183,2
0,3,4,0.9422709601266044,2
0,4,5,0.9450908132961818,2
0,5,6,0.9821786397979373,2
0,6,7,0.9717612720671154,2
0,7,8,0.9777899100666955,2
0,8,9,0.9814116472289676,2
0,9,10,0.9695681191626049,2
1,1,2,0.9377284617651076,2
1,2,3,0.9300064614840916,2
1,3,4,0.9164051072938102,2
1,4,5,0.9146659431003389,2
1,5,6,0.9383360743522644,2
1,6,7,0.9293341324442909,2
1,7,8,0.9361862199647086,2
1,8,9,0.9278810222943624,2
1,9,10,0.9104406975564503,2
2,1,2,0.9153948085648673,2
2,2,3,0.908352221761431,2
2,3,4,0.9035239077749706,2
2,4,5,0.917639434337616,2
2,5,6,0.9153758202280317,2
2,6,7,0.9214191152935937,2
2,7,8,0.9234276328768048,2
2,8,9,0.9058109635398501,2
2,9,10,0.8875424067179362,2
3,1,2,0.8520323917979286,2
3,2,3,0.9079167786098662,2
3,3,4,0.8598057627677917,2
3,4,5,0.8839518995512099,2
3,5,6,0.9075741767883301,2
3,6,7,0.9082828618231273,2
3,7,8,0.9166772337186904,2
3,8,9,0.8798077588989621,2
3,9,10,0.862395567553384,2
4,1,2,0.8568864578292483,2
4,2,3,0.9084899794487726,2
4,3,4,0.8822893074580601,2
4,4,5,0.9115200979369027,2
4,5,6,0.8939254596119836,2
4,6,7,0.8966935504050482,2
4,7,8,0.9086369645027887,2
4,8,9,0.8721671416645959,2
4,9,10,0.8706026559784299,2
5,1,2,0.8315272331237793,2
5,2,3,0.8947661604200091,2
5,3,4,0.8968457494463239,2
5,4,5,0.9119347560973394,2
5,5,6,0.8711477631614322,2
5,6,7,0.8820467846734183,2
5,7,8,0.8961575428644816,2
5,8,9,0.8519609456970578,2
5,9,10,0.8602403941608611,2
6,1,2,0.8114707782154992,2
6,2,3,0.8570021759896052,2
6,3,4,0.8878410089583624,2
6,4,5,0.9038918983368647,2
6,5,6,0.8543731627010164,2
6,6,7,0.853345737570808,2
6,7,8,0.872044787520454,2
6,8,9,0.8166890910693577,2
6,9,10,0.8284956983157566,2
7,1,2,0.7917340426217943,2
7,2,3,0.8462357293991816,2
7,3,4,0.8549161610149202,2
7,4,5,0.8759430419831049,2
7,5,6,0.8322747094290597,2
7,6,7,0.8463350023542132,2
7,7,8,0.861354336852119,2
7,8,9,0.805836524282183,2
7,9,10,0.800947680359795,2
8,1,2,0.7831422856875828,2
8,2,3,0.8154612268720355,2
8,3,4,0.8281145436423165,2
8,4,5,0.857173604624612,2
8,5,6,0.8080521651676723,2
8,6,7,0.7908796412604195,2
8,7,8,0.8317601283391317,2
8,8,9,0.7962036416644142,2
8,9,10,0.7770355826332456,2
9,1,2,0.7292962897391546,2
9,2,3,0.7912902150835309,2
9,3,4,0.8045685887336731,2
9,4,5,0.775764408565703,2
9,5,6,0.7361349860827128,2
9,6,7,0.8058276658966428,2
9,7,8,0.8065478546278817,2
9,8,9,0.7599033003761655,2
9,9,10,0.6932982319877261,2
10,1,2,0.6772082178365617,2
10,2,3,0.740243170942579,2
10,3,4,0.7631083528200785,2
10,4,5,0.7222961570535388,2
10,5,6,0.684702034507479,2
10,6,7,0.8793524957838512,2
10,7,8,0.8044945342200143,2
10,8,9,0.7145345665159679,2
10,9,10,0.6609842167014167,2
11,1,2,0.7219753449871427,2
11,2,3,0.8963531454404196,2
11,3,4,0.9119940911020551,2
11,4,5,0.6204104174283289,2
11,5,6,0.5972591333446049,2
11,6,7,0.9105742744037083,2
11,7,8,0.6042662922825132,2
11,8,9,0.8625642827578953,2
11,9,10,0.5510955399700573,2
0,1,2,0.9452937920888265,3
0,2,3,0.9778894941012065,3
0,3,4,0.9567703048388163,3
0,4,5,0.9608134706815084,3
0,5,6,0.9867745677630106,3
0,6,7,0.9707080086072286,3
0,7,8,0.9841177622477214,3
0,8,9,0.9810109217961629,3
0,9,10,0.9704979062080383,3
1,1,2,0.9446651776631673,3
1,2,3,0.9407371282577515,3
1,3,4,0.9265324751536052,3
1,4,5,0.9284842332204183,3
1,5,6,0.9486685593922933,3
1,6,7,0.9330088376998902,3
1,7,8,0.9485718409220377,3
1,8,9,0.9350752194722494,3
1,9,10,0.9277215162913005,3
2,1,2,0.9194654901822408,3
2,2,3,0.9182654420534769,3
2,3,4,0.9121704498926798,3
2,4,5,0.9274409890174866,3
2,5,6,0.9253021001815795,3
2,6,7,0.9230019807815552,3
2,7,8,0.9341284910837809,3
2,8,9,0.9184871276219686,3
2,9,10,0.909539544582367,3
3,1,2,0.8588239192962647,3
3,2,3,0.9136571327845255,3
3,3,4,0.8694042046864827,3
3,4,5,0.8932028651237488,3
