layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
10,90,0.2715115249156952,0.19021035730838776,0.1451912373304367,0.10665255039930344,0.06682992726564407,0.056354984641075134,0.04388799890875816,0.023372292518615723,0.012336070649325848,0.009612835943698883,7,8,14,6
11,90,0.39718756079673767,0.17107000946998596,0.11123660951852798,0.08306508511304855,0.05108148232102394,0.04052272066473961,0.03876339644193649,0.020440490916371346,0.011121491901576519,0.008555952459573746,6,8,13,6
0,90,0.25187769532203674,0.20675170421600342,0.16486409306526184,0.1161581352353096,0.10255414992570877,0.07727722823619843,0.05517229810357094,0.018294667825102806,0.0005522712599486113,0.0005352857988327742,6,6,7,7
1,90,0.26920342445373535,0.2050352245569229,0.15404348075389862,0.1194562241435051,0.09704775363206863,0.07820315659046173,0.0499362088739872,0.01954989694058895,0.0006746838917024434,0.000625250453595072,6,6,7,7
2,90,0.2782670557498932,0.20058122277259827,0.14966990053653717,0.11297960579395294,0.095765121281147,0.07857683300971985,0.04887916520237923,0.020997317507863045,0.001413121703080833,0.0011542215943336487,6,6,7,7
3,90,0.26722627878189087,0.20118612051010132,0.15027950704097748,0.11366783827543259,0.09125974029302597,0.08195275813341141,0.04615931585431099,0.023545164614915848,0.002887187758460641,0.002028105780482292,6,6,7,7
4,90,0.2613339126110077,0.19441823661327362,0.15012569725513458,0.11857002973556519,0.0915195420384407,0.07789614796638489,0.049843378365039825,0.02453611232340336,0.00366084068082273,0.002607420552521944,6,7,8,7
5,90,0.27019941806793213,0.18780015408992767,0.1516004204750061,0.12019361555576324,0.08598636835813522,0.07494526356458664,0.047599971294403076,0.02354845218360424,0.004432152025401592,0.003097197040915489,6,7,8,7
6,90,0.2692832052707672,0.18879960477352142,0.15257060527801514,0.1223277747631073,0.08005630224943161,0.07068634778261185,0.04606485739350319,0.0253379438072443,0.0052503240294754505,0.004524844698607922,6,7,8,7
7,90,0.2690364420413971,0.19242963194847107,0.15004025399684906,0.1178295761346817,0.07778508216142654,0.06874693185091019,0.0457250140607357,0.025085875764489174,0.005586743820458651,0.004953522235155106,6,7,9,7
8,90,0.26543813943862915,0.19710946083068848,0.14374664425849915,0.11565273255109787,0.08039333671331406,0.06571631133556366,0.04275510460138321,0.025801222771406174,0.006781934294849634,0.005930117331445217,6,7,11,7
9,90,0.2551867961883545,0.20067812502384186,0.1469881534576416,0.11339987814426422,0.07480894774198532,0.0633581280708313,0.042938221246004105,0.02703506499528885,0.007887405343353748,0.007205740083009005,6,8,12,7
10,90,0.26139476895332336,0.19559890031814575,0.1490832418203354,0.106855109333992,0.06870607286691666,0.057622574269771576,0.04459455609321594,0.027806611731648445,0.009359301999211311,0.009047223255038261,7,8,14,7
11,90,0.3682970702648163,0.18400979042053223,0.1202327162027359,0.08331671357154846,0.05286465585231781,0.04373829439282417,0.03897020220756531,0.026798687875270844,0.010213814675807953,0.008691586554050446,6,8,13,7
0,90,0.25251510739326477,0.20672468841075897,0.1653011441230774,0.11615912616252899,0.10236426442861557,0.07736151665449142,0.05443383380770683,0.01830628328025341,0.0007867621607147157,0.000727310951333493,6,6,7,8
